Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575096229000000000,90002984,90016940,90028256,89998272,90014904,89999696,89635484,89869864,89985692,90081024,89906748,90056076,89675152,89985768,89925380,90015332
1575096230000000000,89951784,89964888,89978260,89946264,89962432,89947900,89581880,89815632,89929720,90029184,89856644,90004340,89622036,89933668,89873316,89961972
1575096231000000000,86870216,86887816,86894064,86846168,86870976,86852852,86499912,86727976,86836948,86954088,86758760,86921428,86526456,86837056,86795692,86870248
1575096232000000000,85918668,85938124,85931820,85883052,85915912,85889980,85533196,85775968,85885064,85999644,85797284,85955824,85561296,85871384,85841024,85915444
1575096233000000000,85662772,85679720,85674936,85630044,85664252,85634880,85278964,85522732,85631656,85746480,85541052,85702812,85308252,85619044,85587892,85663236
1575096234000000000,85442716,85456440,85452556,85408892,85442336,85415196,85057668,85304476,85412220,85523696,85322332,85479688,85088444,85400416,85364488,85443276
1575096235000000000,85264052,85273592,85291456,85256120,85284400,85259832,84872416,85143500,85254560,85339512,85143792,85297996,84929516,85240796,85182328,85289836
1575096236000000000,85135408,85145724,85171188,85137464,85166208,85141328,84744484,85024784,85136660,85211488,85016200,85169864,84811792,85121560,85054676,85171524
1575096237000000000,85007876,85016872,85044528,85009468,85037068,85013956,84616280,84896316,85007256,85083836,84887836,85043376,84681860,84992808,84926148,85043896
1575096238000000000,84879604,84889904,84917636,84881872,84908864,84885500,84488208,84768168,84879896,84956128,84760184,84913432,84553216,84864536,84798868,84914852
1575096239000000000,83874336,83915816,83879508,83813916,83874232,83817904,83485096,83702176,83811388,83951372,83754884,83910208,83488932,83801248,83826324,83847748
1575096240000000000,84589752,84612520,84595380,84528596,84588300,84533812,84200720,84417328,84527232,84665560,84449812,84624340,84203780,84515276,84530936,84562436
1575096241000000000,84588880,84608824,84595900,84527820,84588300,84533904,84201636,84417328,84527564,84665560,84449284,84625080,84203780,84515276,84530408,84562176
1575096242000000000,84589304,84608832,84595932,84528448,84588300,84533904,84201084,84417328,84527564,84665560,84449284,84625632,84203780,84515796,84531096,84562300
