Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575131702000000000,90470628,90489560,90478484,90457788,90466408,90459536,90099036,90323136,90432152,90523368,90356968,90517292,90138580,90424764,90378372,90450248
1575131703000000000,90464028,90481064,90473384,90451056,90460292,90450756,90093288,90317716,90421136,90517740,90351072,90510848,90132464,90418984,90371456,90445052
1575131704000000000,87420952,87449180,87424468,87409504,87423448,87399944,87040148,87287560,87376660,87471152,87296496,87470516,87081360,87365968,87335532,87403528
1575131705000000000,86028940,86049356,86033032,86008724,86037360,85998728,85643296,85893092,85995352,86078888,85898724,86068780,85681336,85965164,85941280,86018724
1575131706000000000,86122664,86142644,86123904,86099904,86124232,86090776,85739656,85987780,86085916,86173544,85994340,86156800,85773412,86058748,86035612,86107884
1575131707000000000,85933304,85950144,85933140,85906916,85931112,85900200,85545880,85795528,85893500,85985696,85801772,85965100,85582132,85869536,85843156,85918360
1575131708000000000,85721440,85736296,85740268,85715904,85740224,85711584,85329792,85606328,85703664,85771296,85590092,85750800,85390624,85678152,85628004,85727412
1575131709000000000,85593608,85608904,85622168,85595944,85619772,85592860,85203940,85486876,85583028,85643520,85462812,85622840,85270684,85559772,85501408,85607356
1575131710000000000,85467224,85480572,85493004,85469568,85492368,85462220,85075500,85359756,85454972,85515636,85334168,85496112,85141824,85430552,85373680,85479500
1575131711000000000,85338612,85351616,85364920,85341484,85362368,85334384,84947540,85233392,85326888,85388232,85207460,85367420,85014544,85303088,85245160,85351388
1575131712000000000,84377136,84397080,84393316,84330584,84333324,84331992,83983464,84204756,84291152,84401004,84237136,84401144,84002544,84304804,84287972,84319200
1575131713000000000,84704120,84744568,84693800,84637108,84661264,84638028,84311400,84529284,84623216,84750912,84569824,84729300,84310828,84604444,84640152,84648732
1575131714000000000,85053088,85071656,85041920,84986008,85010792,84986556,84626608,84879860,84972352,85101524,84897544,85079416,84658892,84953048,84978736,84997708
1575131715000000000,85053428,85071656,85041920,84986324,85011156,84986556,84627020,84879860,84972260,85101144,84897544,85079368,84659016,84953048,84977744,84997964
1575131716000000000,84991144,85000024,84979460,84925536,84980004,84924188,84553504,84817316,84941824,85008252,84858196,85017884,84597828,84890188,84896548,84937464
1575131717000000000,84969944,85000024,84979460,84923320,84980004,84923940,84552760,84817192,84922032,85008508,84855808,85015944,84596808,84889992,84895276,84935528
1575131718000000000,84735992,84743496,84724508,84668536,84724840,84667948,84297656,84561768,84689164,84753700,84603056,84763224,84342444,84637236,84639972,84681032
1575131719000000000,84589752,84615844,84596732,84536828,84596196,84534748,84169588,84433744,84539216,84620004,84475848,84634332,84214904,84509036,84510412,84552596
1575131720000000000,83766148,83757560,83773848,83716340,83741900,83712852,83361012,83609168,83704468,83798516,83658960,83818640,83391352,83684840,83655860,83729340
1575131721000000000,84412944,84420260,84402884,84346128,84370540,84343716,84008608,84238328,84333852,84460104,84283540,84439388,84021676,84315352,84317220,84358844
1575131722000000000,84413092,84420820,84401772,84347120,84368844,84343716,83986792,84238576,84333460,84460020,84283500,84440056,84022048,84314632,84317204,84358472
1575131723000000000,84413472,84420820,84401772,84346252,84368972,84343716,83986668,84238576,84334860,84460352,84283548,84440160,84022048,84314880,84317292,84358596
1575131724000000000,84413472,84420848,84401772,84346260,84369248,84344228,83986668,84238576,84334860,84460260,84283548,84440396,84022048,84314880,84317332,84358596
1575131725000000000,84352016,84358524,84317936,84315784,84318516,84281736,83912636,84207300,84282544,84397176,84230584,84376972,83958564,84252188,84264364,84327256
1575131726000000000,84224176,84231136,84191568,84188524,84192256,84153684,83785540,84079956,84156384,84271028,84104296,84249304,83831844,84125376,84138452,84199604
1575131727000000000,84096636,84103236,84063732,84060252,84064296,84026032,83657208,83952368,84027616,84143996,83976228,84121148,83702904,83997412,84009436,84071208
1575131728000000000,83215580,83195132,83172296,83118072,83174732,83112512,82747092,83042384,83135200,83231844,83052532,83211724,82792488,83083832,83089568,83130216
1575131729000000000,82961212,82971384,82949648,82891868,82919116,82889860,82489812,82784288,82879988,83005832,82797888,82985156,82568236,82860860,82830872,82871748
1575131730000000000,83771440,83783596,83761940,83705544,83730504,83702696,83302680,83597040,83692552,83819228,83611504,83798704,83380204,83674580,83644112,83684624
1575131731000000000,83771780,83784184,83763244,83705636,83730992,83702912,83302828,83597040,83692916,83819752,83612120,83798704,83380204,83674580,83644112,83684492
