Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575116966000000000,90003188,90011744,90016896,89979972,89995180,89994784,89626804,89866196,89978108,90066052,89888976,90049632,89663992,89971464,89912996,90003604
1575116967000000000,89997040,90004892,90010852,89975068,89991796,89989748,89619504,89862196,89965628,90060268,89883988,90042544,89660008,89967212,89906772,89999080
1575116968000000000,88315176,88458960,88467292,88478396,88313968,88489808,88116852,88358376,88206604,88366952,88386684,88542016,88148780,88414724,88400276,88438708
1575116969000000000,85707404,85840536,85857344,85913508,85755252,85923100,85551628,85784716,85582112,85785532,85821500,85972876,85562324,85810800,85818956,85821048
1575116970000000000,83142420,83238564,83259568,83360532,83200456,83366592,82988960,83178616,83002988,83210152,83266472,83376488,82987164,83209112,83258064,83218916
1575116971000000000,80577500,80667588,80661756,80791416,80649948,80809872,80428012,80572612,80400588,80633192,80712176,80819628,80407852,80603212,80693216,80608752
1575116972000000000,78008296,78100496,78074184,78199748,78076836,78248984,77867456,77966740,77779912,78056016,78153708,78263040,77828472,78001304,78132392,78000740
1575116973000000000,75406736,75527824,75474452,75645144,75485104,75690296,75304584,75360952,75159380,75478684,75599372,75706132,75249216,75399396,75553072,75392872
1575116974000000000,72842064,72927368,72878064,73092696,72928404,73131332,72742836,72756376,72538832,72901600,73025948,73149528,72670736,72797052,72994332,72821292
1575116975000000000,70237416,70327592,70247568,70492428,70352656,70514680,70134996,70123708,69891772,70302992,70407124,70563428,70037440,70166632,70402300,70219344
1575116976000000000,68911772,69706356,69710352,69673940,68905728,69689140,69318436,69563612,68879380,68974712,69584676,69740152,69363848,69667720,69605600,69695816
1575116977000000000,68911896,69706356,69710352,69673940,68905728,69689140,69318844,69563612,68879380,68974712,69584676,69740072,69363848,69667720,69605848,69696372
1575116978000000000,68912588,69706136,69710424,69673960,68905728,69689140,69319316,69563612,68879380,68974836,69584692,69740184,69364096,69667720,69606848,69697520
1575116979000000000,68913308,69707112,69710548,69674092,68905728,69689044,69319440,69563620,68879892,68974836,69584572,69740316,69364096,69667720,69607808,69697840
1575116980000000000,68913376,69708140,69710548,69674092,68905728,69689044,69319440,69563620,68879892,68974836,69584572,69740332,69364096,69667720,69607808,69697840
1575116981000000000,68913848,69708904,69711452,69674204,68905728,69681640,69320416,69563620,68879892,68974868,69586096,69740404,69364096,69668232,69607808,69693948
1575116982000000000,68914096,69708904,69712224,69674884,68905728,69682604,69321092,69563620,68879364,68976576,69586096,69740404,69364096,69668232,69607960,69694808
1575116983000000000,68914096,69709028,69713320,69674908,68905728,69684116,69321092,69564648,68879364,68977376,69586096,69741420,69365112,69668232,69608908,69695108
1575116984000000000,68914096,69709556,69713712,69674924,68905728,69684676,69321060,69564648,68879364,68977500,69586228,69741536,69365236,69668884,69608860,69695060
1575116985000000000,68914220,69710232,69714648,69675244,68905320,69684800,69321604,69564648,68879364,68977500,69587256,69741608,69365236,69669708,69608860,69695568
1575116986000000000,68914220,69710380,69714696,69675408,68908024,69684924,69321620,69564648,68879876,68978644,69587256,69741624,69365236,69671244,69608872,69695600
1575116987000000000,68914220,69710504,69714944,69675440,68908528,69687448,69321604,69565164,68879876,68978948,69587256,69742220,69366208,69672120,69609068,69695856
1575116988000000000,67588256,67649848,67630456,67821016,67705948,67811788,67568496,67441856,67329480,67632860,67718176,67985996,67429900,67543528,67776112,67504424
1575116989000000000,65632368,66427692,66432820,66393212,65627792,66404760,66039340,66282628,65597000,65695992,66304376,66459656,66084108,66388956,66326008,66412712
1575116990000000000,65632368,66427692,66432448,66393132,65627644,66404636,66039640,66282628,65597000,65695744,66304376,66459688,66083604,66388956,66326040,66412720
1575116991000000000,65632368,66427692,66432448,66393132,65627644,66404504,66039640,66282628,65597000,65695744,66304376,66459812,66083604,66388956,66326212,66396716
1575116992000000000,65632368,66427692,66432448,66393256,65627692,66405016,66039640,66282628,65596692,65695744,66304376,66459820,66083604,66389228,66326212,66396716
1575116993000000000,65632368,66427692,66432548,66393464,65627692,66405016,66039808,66283136,65596692,65695744,66304880,66459944,66083604,66389572,66326212,66396716
1575116994000000000,65632840,66427584,66432548,66393460,65628176,66405048,66039952,66278204,65596692,65695744,66304880,66459944,66083604,66388352,66326276,66396668
1575116995000000000,65633088,66428140,66432548,66393460,65628300,66405048,66039952,66279968,65596692,65695744,66304856,66460040,66083604,66388336,66326740,66396804
1575116996000000000,65633088,66428092,66432888,66393772,65628456,66405048,66039952,66280648,65596692,65696256,66304856,66460212,66083728,66389192,66326772,66396804
1575116997000000000,65633516,66428092,66433332,66393788,65628728,66405048,66040304,66281684,65596692,65696256,66304856,66460172,66084400,66389672,66326772,66396804
1575116998000000000,65633640,66428216,66433452,66393788,65628848,66405048,66040288,66281684,65596692,65696256,66304856,66460296,66084400,66389672,66326896,66396912
1575116999000000000,65633640,66428216,66433484,66393788,65628848,66405048,66040288,66281668,65596692,65696256,66304856,66460584,66084400,66389672,66327180,66396912
1575117000000000000,65633640,66428216,66433504,66393788,65628848,66405048,66040288,66281520,65598292,65696256,66305372,66460708,66084400,66389732,66327180,66397016
1575117001000000000,65633764,66428216,66433500,66393784,65629220,66405048,66040288,66282032,65598292,65696256,66305372,66460584,66084400,66389732,66327180,66380632
1575117002000000000,65286448,65472972,64406388,64176040,65629220,66405048,66039784,66282032,63700260,65697088,66305372,65792108,64669600,64179728,66327180,64155080
1575117003000000000,62748988,62868296,61813444,61597172,65627560,65940416,66039712,63718432,61081644,65533916,64204384,63199684,62055148,61583160,66169624,61548996
1575117004000000000,60145264,60260428,59215444,59003688,64532396,63389892,63609892,61116276,58459256,62962912,61608560,60605968,59439024,58989500,63633400,58946100
1575117005000000000,57579848,57693336,56628120,56440568,61941116,60830868,61012048,58512568,55877952,60387504,59015416,58014300,56861692,56429436,61073068,56338052
1575117006000000000,54996680,55126384,54028012,53885884,59353748,58272276,58449236,55910472,53290316,57810296,56455816,55415340,54278152,53831256,58511808,53729876
1575117007000000000,52388372,52556932,51432372,51329940,56800992,55681772,55855252,53345676,50688408,55230728,53881028,52858276,51811096,51229596,55949112,51123872
1575117008000000000,49845360,50694096,49625600,49585540,54223968,53085996,53255648,51017808,48789572,52651720,51322376,50301424,50352732,49570016,53386176,49570404
1575117009000000000,48823916,49620768,49625600,49585588,51665124,51074708,50692952,49526308,48790208,50072152,49495772,49653336,49275216,49569952,51040412,49570456
1575117010000000000,48823916,49620176,49625696,49585568,49520956,49621188,49228472,49474248,48790492,48886456,49495276,49653336,49274720,49569952,49516948,49570456
1575117011000000000,48823916,49620620,49625696,49586212,48821720,49596264,49228232,49474248,48790584,48886456,49495416,49653336,49274720,49569952,49516908,49554204
1575117012000000000,48823916,49620888,49625696,49586212,48821720,49596396,49228480,49474264,48790584,48886580,49495416,49653552,49271116,49569952,49516908,49554204
1575117013000000000,48823916,49620888,49625696,49586212,48821720,49596396,49228612,49474240,48790584,48886580,49495416,49653676,49271260,49570060,49516908,49554800
1575117014000000000,48823916,49620888,49625696,49586228,48822984,49596504,49228580,49474240,48790708,48886876,49495572,49653676,49271212,49562540,49516908,49554728
1575117015000000000,48823916,49620888,49625696,49586384,48823016,49596504,49228804,49474240,48790708,48887528,49495580,49653552,49271212,49554548,49517060,49554744
1575117016000000000,48823916,49620900,49625696,49586736,48822728,49596504,49229468,49474480,48790708,48887708,49495580,49653792,49271180,49554812,49517060,49554728
1575117017000000000,48823916,49620900,49625696,49586736,48822860,49596504,49229588,49474488,48791096,48888120,49495580,49653696,49270924,49555148,49517200,49554728
