Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575145340000000000,90463484,90473248,90476960,90446620,90438508,90449084,90094348,90323228,90434240,90522544,90357888,90504424,90138292,90421276,90353308,90451388
1575145341000000000,90396756,90408924,90409120,90378492,90374332,90384080,90026412,90259604,90353692,90456652,90287044,90438836,90073152,90358556,90286516,90385816
1575145342000000000,87987120,87941624,88002040,87977140,87980800,87920276,87617276,87851224,87861792,88001076,87880508,88025296,87578436,87949704,87819308,87970332
1575145343000000000,85418128,85329576,85441028,85419456,85424008,85358736,85048468,85282096,85278316,85380548,85305476,85472732,84951904,85347540,85254304,85397332
1575145344000000000,82853056,82768176,82886348,82868748,82873424,82799780,82495844,82721272,82698952,82809236,82611720,82910284,82363964,82747780,82693300,82802612
1575145345000000000,80246804,80201144,80327508,80311948,80320728,80224552,79935080,80154116,80117460,80229916,79964508,80351032,79788836,80145964,80118144,80193776
1575145346000000000,77679896,77619608,77766684,77757268,77770176,77624552,77374132,77593168,77509544,77654504,77288872,77755400,77211980,77539892,77561352,77624664
1575145347000000000,75112804,75011432,75207976,75186016,75219940,75026800,74807488,75026136,74889708,75077172,74594620,75198524,74604076,74940032,75000528,75053536
1575145348000000000,72537072,72429552,72642424,72585816,72637888,72459136,72238020,72446308,72298116,72488900,71885328,72631176,72014100,72327372,72424892,72469468
1575145349000000000,70155416,70161696,70169988,70136732,70133320,70141948,69782376,70016260,69858224,70213504,70045444,70190944,69819380,70117016,70043144,70141784
1575145350000000000,70155416,70161696,70169988,70136088,70133596,70142072,69782720,70016260,69858224,70213504,70045444,70190664,69819380,70117016,70044084,70141400
1575145351000000000,70155416,70161696,70169988,70136592,70133968,70142072,69782728,70016260,69858224,70213504,70045444,70191360,69819380,70117016,70044152,70142000
1575145352000000000,70155416,70161696,70169988,70137528,70133968,70142072,69782828,70016260,69858224,70213504,70045444,70192580,69819380,70117016,70044152,70143596
1575145353000000000,70155416,70161696,70169988,70137676,70133968,70142072,69782952,70016260,69858224,70213504,70045444,70192580,69819380,70117016,70044308,70143652
1575145354000000000,70154600,70161696,70169988,70137972,70134476,70142072,69783224,70016260,69858784,70213504,70045444,70193048,69819388,70117016,70044260,70143604
1575145355000000000,70155332,70162208,70169316,70131120,70134476,70142072,69783404,70016260,69858800,70213504,70045444,70192948,69822592,70117016,70044260,70143704
1575145356000000000,70156532,70162208,70169696,70134824,70134476,70142072,69783528,70016260,69859384,70213504,70045444,70192948,69823344,70117016,70044260,70143704
1575145357000000000,70156856,70161696,70170524,70134840,70134476,70142072,69783652,70016260,69859360,70213504,70045444,70192744,69824116,70117016,70044744,70143808
1575145358000000000,70156856,70157996,70170524,70135096,70134476,70142072,69783604,70016260,69859360,70213504,70045444,70192904,69824116,70117016,70044744,70143808
1575145359000000000,70157004,70158888,70170524,70135056,70134476,70142584,69784096,70016260,69859252,70213504,70046452,70192936,69824116,70118032,70044744,70143808
1575145360000000000,70157004,70159772,70170524,70135072,70134628,70142584,69784096,70016228,69859252,70213504,70046452,70193956,69824116,70118032,70045248,70143808
1575145361000000000,70086296,69691960,70027724,70135584,69855092,69942448,69712976,70009948,69582868,69947984,69168604,70193956,69402168,69709068,69792968,69793996
1575145362000000000,67491112,67113036,67448552,67600028,67303776,67387976,67185100,67459448,67005540,67378928,66763636,67888624,66823120,67203872,67246812,67237380
1575145363000000000,66874992,66877768,66887340,66852840,66854520,66859408,66501096,66734024,66576020,66930232,66763636,66911088,66541304,66835296,66762556,66853972
1575145364000000000,66874992,66877776,66887372,66852716,66854520,66859408,66501096,66734024,66576020,66930232,66763636,66911136,66541304,66835296,66762508,66853924
1575145365000000000,66874992,66877776,66888036,66853236,66854520,66859408,66501272,66734024,66576020,66930232,66763636,66911160,66541304,66835296,66762620,66854104
1575145366000000000,66874808,66877800,66888036,66853444,66854520,66859408,66501280,66734024,66576020,66930232,66763636,66911240,66541304,66835296,66762588,66854128
1575145367000000000,66874980,66877572,66888220,66853444,66854520,66859408,66501280,66734024,66576020,66930232,66763636,66911200,66541304,66835296,66762604,66854252
1575145368000000000,66874980,66877960,66888312,66853444,66854684,66859408,66501480,66734024,66576020,66930232,66763636,66911292,66541304,66835296,66762604,66854236
1575145369000000000,66875132,66877960,66888312,66853396,66855056,66859408,66501480,66734024,66576020,66930232,66763636,66911324,66541304,66835296,66762652,66854284
1575145370000000000,66875132,66877960,66888296,66853492,66855056,66859408,66501480,66734024,66576020,66930736,66763636,66911712,66541304,66835296,66762780,66854540
1575145371000000000,66875132,66877960,66888420,66853500,66855680,66859408,66501696,66734024,66576688,66930736,66763636,66911820,66541304,66835304,66762764,66838156
1575145372000000000,66875256,66877960,66888420,66853500,66855804,66859408,66501696,66734024,66576620,66930736,66763636,66911836,66541304,66835304,66762764,66838040
1575145373000000000,66875256,66878468,66888420,66853624,66855804,66859408,66501848,66734024,66576620,66930736,66763636,66911836,66541304,66835304,66762764,66838164
1575145374000000000,66875256,66878468,66888420,66853796,66855804,66860376,66501848,66734024,66576620,66930736,66763636,66911836,66541304,66835304,66762592,66838348
1575145375000000000,66875384,66878468,66888420,66853932,66855868,66860376,65982208,66734024,65786180,66930736,66763636,66912120,66541808,66835304,66762568,66191996
1575145376000000000,64960412,66878468,66274340,66852260,66855868,66421056,63380052,66315156,63167700,65750644,66763636,66912120,66243520,66835304,66143308,63585992
1575145377000000000,62358256,66484948,63715316,65567116,64687880,63869476,60819228,63729568,60586520,63136572,65105840,66849936,63646476,64749948,63584532,61018900
1575145378000000000,59760600,63893156,61144468,62976848,62100540,61312624,58254104,61123248,58003044,60561164,62547312,64297364,61065192,62147916,61021596,58413272
1575145379000000000,57157760,61289200,58552708,60423816,59508932,58721148,55689060,58558452,55417664,57979792,59988348,61742964,58457388,59550228,58460648,55808384
1575145380000000000,54554796,58725468,55950552,57871044,56917264,56123088,53128172,55991740,52815508,55402396,57433792,59186048,55878008,56948444,55895900,53211192
1575145381000000000,51954812,56156016,53350816,55309908,54323424,53525152,50771840,53424648,50195540,52823140,54872532,56625048,53296516,54349452,53318624,50644192
1575145382000000000,50066328,53550316,50773700,52755616,51768852,51483708,49692668,51137248,49767888,50245972,52316796,54031704,51474768,51749696,51000084,50012676
1575145383000000000,50066328,51417532,50079468,50186040,50047216,50052748,49692700,49927008,49767888,50123088,49953940,51474540,49961100,50027440,49955384,50012920
1575145384000000000,50066328,50074612,50079468,50044208,50047216,50052004,49692700,49926636,49767888,50123088,49953940,50102652,49733188,50027528,49955260,50012920
