Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575109250000000000,89999140,90011612,90016324,89980656,89993704,89985736,89631576,89857364,89977512,90060668,89895788,90047108,89675048,89971768,89913868,89995592
1575109251000000000,89997736,90002816,90013772,89974956,89987936,89980444,89625172,89854128,89965772,90056900,89891864,90042544,89669444,89965948,89907836,89989276
1575109252000000000,88148380,88158844,88167680,88127968,88138716,88108832,87758448,87990504,88117244,88210120,88047296,88196988,87824520,88120464,88055764,88130460
1575109253000000000,87214900,87278632,87289828,86982788,87233136,86821632,86457396,86886304,86839572,87058916,87203588,87070804,86884112,87099080,86927860,87038644
1575109254000000000,85584868,85498172,85591236,85200840,85609424,84697108,84217136,85253108,85197804,85424312,85542280,85291328,85247244,85311984,85144304,85407536
1575109255000000000,84640088,84651984,84658428,84621944,84629608,84604452,84251840,84479448,84611532,84701240,84539472,84689592,84317440,84615180,84546928,84623144
1575109256000000000,84172980,84183916,84194612,84157592,84163056,84136424,83786508,84013452,84145724,84235476,84070256,84223680,83848048,84148384,84088628,84160912
1575109257000000000,84172980,84183924,84194740,84157624,84166076,84136424,83786596,84013452,84145916,84235476,84070304,84223892,83848048,84148384,84089100,84161516
1575109258000000000,84172980,84183924,84194864,84157908,84166324,84136424,83787212,84013452,84145916,84235724,84070444,84225352,83848048,84148384,84090072,84162484
1575109259000000000,84169256,84183924,84194864,84158808,84166960,84136424,83787240,84013452,84140532,84235848,84070444,84226056,83848552,84148384,84090468,84163088
1575109260000000000,84170896,84183924,84194872,84159104,84168824,84136424,83787240,84013452,84141568,84236360,84070468,84226056,83848552,84148384,84090592,84163088
1575109261000000000,84171656,84184428,84195640,84159228,84169120,84136936,83787748,84010112,84142952,84236484,84070476,84226336,83848552,84144224,84090592,84163540
1575109262000000000,84172552,84185076,84195640,84159360,84169120,84136936,83787748,84010800,84142952,84236484,84070476,84226776,83848552,84144888,84090792,84163676
1575109263000000000,84172800,84186284,84195640,84159868,84169244,84133284,83787756,84012412,84145164,84236624,84070980,84226776,83850472,84145548,84091204,84163676
1575109264000000000,84172800,84186988,84195640,84160028,84169800,84136584,83787756,84012408,84145672,84237292,84070980,84226868,83851048,84147464,84091312,84163676
1575109265000000000,84174112,84186988,84196244,84160028,84167724,84138636,83787824,84012568,84146080,84237292,84070980,84226968,83851584,84147596,84091312,84163960
1575109266000000000,84175364,84186872,84198684,84160044,84166236,84137272,83786336,84011452,84145840,84237836,84070888,84226976,83851568,84147084,84088380,84163128
1575109267000000000,84175696,84186872,84199156,84159424,84166236,84137288,83786460,84012632,84145756,84237976,84071392,84227124,83851672,84147268,84088784,84163820
1575109268000000000,84176636,84186872,84199404,84160660,84166236,84137988,83786592,84012632,84146324,84238480,84071276,84227124,83851672,84147392,84089652,84164260
1575109269000000000,84176816,84186964,84199416,84160700,84166236,84138112,83786724,84012928,84146324,84238500,84071292,84227320,83851764,84147952,84089652,84164320
1575109270000000000,84176848,84186964,84199416,84160700,84166748,84138120,83786724,84012936,84146324,84238500,84071672,84227320,83851764,84148208,84089652,84164320
1575109271000000000,84176848,84186964,84199416,84160700,84166748,84138120,83786724,84013192,84146200,84238500,84071928,84227320,83851764,84148208,84089964,84164572
1575109272000000000,84176848,84187088,84199416,84160700,84167252,84138120,83786812,84014376,84146200,84238500,84071928,84227320,83851764,84148208,84089976,84164572
1575109273000000000,84176848,84187088,84199416,84160700,84167252,84138128,83787360,84016652,84146200,84238500,84071928,84227320,83851796,84148712,84089976,84164568
1575109274000000000,84176848,84187120,84199416,84160800,84167252,84138268,83787360,84016652,84146200,84238588,84071928,84227368,83851796,84148960,84089928,84163824
1575109275000000000,84176352,84187120,84199448,84158528,84167252,84138268,83787328,84016652,84146200,84238596,84071928,84227384,83851176,84148960,84090084,84163468
1575109276000000000,84176352,84187244,84199448,84159480,84167252,84137864,83787616,84016692,84146200,84238596,84071928,84227896,83851176,84149224,84090472,84164004
1575109277000000000,84176400,84187244,84199492,84159448,84167252,84137840,83787824,84016692,84146200,84239544,84071928,84227832,83851176,84149224,84090456,84164004
1575109278000000000,84176400,84187244,84199492,84159480,84170220,84138544,83787768,84016692,84147820,84241300,84071928,84228072,83851176,84149876,84090456,84163976
1575109279000000000,84176400,84187244,84199480,84159700,84172052,84139856,83787768,84016692,84148852,84242620,84071928,84228072,83851176,84151056,84090792,84164108
1575109280000000000,84177128,84187368,84199776,84159716,84172064,84139848,83787768,84016692,84148852,84242816,84072432,84227948,83851176,84151088,84090792,84164356
1575109281000000000,84178300,84184192,84199960,84159716,84161812,84140064,83787908,84016940,84148852,84242816,84072432,84227948,83851176,84151212,84080384,84164480
1575109282000000000,84178424,84184492,84199960,84159700,84164364,84140064,83787892,84017064,84148976,84243024,84072432,84228472,83851176,84151552,84084548,84164652
1575109283000000000,84178424,84184816,84197168,84159708,84163620,84138016,83787396,84016716,84148356,84242664,84071844,84227108,83850680,84150808,84084776,84164528
1575109284000000000,84178424,84184816,84197772,84159632,84163744,84138240,83787272,84016716,84148356,84242664,84071844,84227232,83851060,84150808,84085140,84165108
1575109285000000000,84178472,84185064,84199156,84159912,84163744,84139672,83787528,84016716,84148480,84242664,84071844,84227232,83853084,84150808,84085732,84165232
1575109286000000000,84178472,84185188,84199616,84159912,84163868,84139548,83787560,84016716,84148448,84242788,84071844,84227752,83853084,84151220,84085740,84165232
1575109287000000000,84178472,84185188,84199616,84159880,84163868,84139548,83787560,84016716,84148448,84242664,84071844,84227704,83853092,84151912,84086772,84165232
1575109288000000000,84178472,84185312,84199616,84160212,84168804,84140016,83787496,84016716,84148500,84242664,84074008,84227704,83853216,84152036,84086772,84165260
1575109289000000000,84178544,84185312,84199616,84160148,84170440,84140008,83787560,84016716,84148500,84242664,84075112,84227704,83853216,84152268,84086656,84165260
1575109290000000000,84178544,84185312,84199616,84160148,84170440,84140008,83787560,84016716,84148500,84242696,84075524,84227760,83853216,84152300,84086656,84165260
1575109291000000000,84178544,84185388,84199616,84160148,84170564,84140008,83787560,84016716,84148500,84242696,84075544,84227760,83853216,84152300,84086704,84165260
1575109292000000000,84178536,84185388,84199616,84160336,84171280,84140008,83787652,84017244,84148500,84242696,84075544,84227760,83853216,84152300,84087516,84165260
1575109293000000000,84178536,84185900,84199616,84160584,84171404,84140336,83787960,84017648,84148500,84242696,84075544,84227992,83853216,84152300,84087524,84165728
1575109294000000000,84178536,84185900,84199616,84160584,84171404,84140460,83787960,84017648,84148776,84242696,84075544,84228104,83853248,84152368,84087600,84165728
1575109295000000000,84178536,84188124,84199680,84160584,84171548,84140460,83787960,84017648,84149128,84242696,84075544,84228104,83853248,84152492,84087720,84165728
1575109296000000000,84178536,84188944,84199680,84160796,84171920,84140460,83787952,84017648,84149096,84242696,84075544,84228104,83853248,84152492,84088296,84165728
1575109297000000000,84178536,84189108,84199728,84160796,84172172,84140460,83788040,84017648,84149096,84242828,84075544,84228056,83853248,84152492,84088296,84165776
1575109298000000000,84178536,84189108,84199728,84160796,84172172,84140428,83787992,84017648,84149096,84243232,84075544,84228056,83853956,84152696,84088296,84165620
1575109299000000000,84178660,84189108,84199728,84160864,84172172,84140460,83787992,84017648,84149096,84244556,84075544,84228168,83854424,84152820,84088344,84165620
1575109300000000000,84178956,84189108,84199728,84161048,84172172,84140460,83787992,84017648,84149096,84244556,84075576,84228168,83854424,84152852,84088540,84165620
1575109301000000000,84178960,84189108,84200040,84161108,84172172,84140460,83788244,84017648,84149096,84244524,84075576,84228236,83854424,84152852,84088580,84165868
1575109302000000000,84179084,84189108,84200328,84161464,84172172,84140460,83788244,84017648,84149096,84244836,84075576,84228408,83854424,84152976,84088704,84165868
1575109303000000000,84179276,84189108,84200328,84161464,84172172,84140460,83788244,84017648,84149096,84244836,84075576,84228408,83854456,84152976,84088736,84165868
1575109304000000000,84179276,84189108,84200328,84161512,84172172,84140460,83788244,84017648,84149096,84244836,84075576,84228696,83854456,84152976,84088688,84165868
1575109305000000000,84179276,84189108,84200408,84161520,84172172,84140460,83788452,84017648,84149096,84244836,84075576,84228680,83854456,84152976,84088832,84165996
1575109306000000000,84179276,84189108,84200536,84161536,84172172,84140460,83788480,84017648,84149096,84244836,84075576,84228696,83854456,84152976,84088848,84166012
1575109307000000000,84179276,84189108,84200536,84161528,84172728,84140460,83788464,84017648,84150176,84244836,84075608,84228648,83854524,84152976,84088832,84166012
1575109308000000000,84179276,84189108,84195300,84161584,84172936,84140460,83786764,84017648,84150172,84244836,84075640,84228672,83854812,84152976,84088584,84165996
1575109309000000000,84179276,84189108,84195440,84161684,84172896,84141012,83786772,84017680,84150172,84244836,84075640,84228532,83856116,84153072,84088828,84165996
1575109310000000000,84179276,84189108,84195440,84161864,84172940,84141136,83786780,84017680,84150172,84244836,84075640,84228532,83856116,84153412,84088964,84166000
1575109311000000000,84179276,84189108,84196644,84161896,84172940,84141136,83786900,84018252,84150172,84244836,84075640,84228564,83856492,84153428,84089068,84166016
1575109312000000000,84179276,84189108,84197108,84162072,84172940,84141136,83786900,84018500,84150172,84244836,84076148,84228688,83856460,84153428,84089260,84166016
1575109313000000000,84179276,84189616,84197304,84162072,84172940,84141136,83787108,84018612,84150172,84244836,84076148,84228888,83856460,84153444,84089460,84166032
1575109314000000000,84179276,84189616,84197888,84162136,84172940,84141136,83787108,84018616,84150172,84244836,84076148,84228968,83856460,84153444,84089288,84166064
1575109315000000000,84180116,84189616,84197920,84162136,84172940,84141136,83787076,84018616,84150172,84244836,84076148,84228968,83856476,84153444,84089452,84166064
1575109316000000000,84180240,84189616,84197920,84162208,84172940,84141136,83787108,84018616,84150188,84244836,84076148,84228968,83856476,84153444,84089452,84166064
1575109317000000000,84180532,84190120,84197968,84162176,84172940,84141184,83787272,84018616,84150188,84244836,84076148,84229044,83856580,84153444,84089452,84166376
1575109318000000000,84180532,84190120,84197968,84162700,84172940,84141388,83787216,84018616,84150188,84244836,84076148,84229044,83856596,84153688,84090076,84166604
1575109319000000000,84180532,84190120,84198008,84162652,84172940,84141876,83788088,84018616,84150708,84244836,84076148,84229044,83856596,84153812,84090328,84166604
1575109320000000000,84180532,84190120,84198644,84162644,84172940,84142248,83788088,84018648,84150708,84244836,84076148,84229044,83856596,84153812,84090328,84166808
1575109321000000000,84180532,84190120,84198472,84162604,84172940,84142248,83788032,84018648,84150816,84244836,84076148,84229044,83856596,84153764,84090452,84166808
1575109322000000000,84180532,84190120,84198472,84162808,84172940,84142248,83788024,84018648,84150820,84245340,84076180,84229092,83856596,84153764,84090532,84166816
