Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575123442000000000,90472176,90473828,90485296,90457044,90456672,90448732,90086868,90324872,90436776,90530008,90361108,90508888,90133972,90432948,90368224,90455400
1575123443000000000,90451832,90453840,90462076,90436372,90434680,90428100,90066316,90302252,90411068,90508788,90338060,90486612,90114804,90414256,90345776,90437760
1575123444000000000,88616220,88618740,88623720,88600588,88603336,88581796,88217860,88431788,88575560,88676288,88507028,88646764,88275184,88574152,88511768,88578320
1575123445000000000,87225008,87416116,87241996,87481948,87227224,87038332,86666652,86909568,87044448,87456792,87339248,87280672,86941444,87476476,87382148,87044288
1575123446000000000,85163780,85637952,85172736,85695100,85173328,85131828,84766612,84980748,85121956,85822032,85715900,85253148,84825124,85693288,85754552,85130196
1575123447000000000,86017364,86011728,86065140,85996440,86012204,85990028,85545628,85811084,85819036,86094264,85902024,86066612,85705364,85979196,85904960,85945972
1575123448000000000,84643800,84645988,84651488,84629488,84627380,84611808,84247520,84460852,84602120,84704288,84532044,84676296,84303068,84604988,84539776,84612740
1575123449000000000,84643800,84645988,84651488,84629488,84627380,84611808,84248016,84460852,84602120,84704288,84532052,84676764,84303068,84604988,84539776,84612740
1575123450000000000,84643800,84645988,84651488,84629612,84627380,84611808,84249152,84460852,84602120,84704288,84532052,84677124,84303068,84604988,84540520,84612872
1575123451000000000,84643800,84645988,84651488,84629860,84627380,84611808,84249588,84460852,84602120,84704288,84532052,84677744,84304328,84605136,84541548,84613892
1575123452000000000,84643964,84645988,84651488,84629948,84627884,84611808,84249712,84460852,84602624,84704288,84532052,84677752,84304724,84605972,84541548,84614292
1575123453000000000,84644528,84646504,84651488,84629948,84627884,84611808,84250284,84460852,84602624,84704288,84532052,84677752,84304732,84606220,84541672,84614292
1575123454000000000,84645124,84646504,84650976,84629948,84627884,84611808,84250308,84460852,84602576,84704792,84532556,84678536,84304788,84606316,84541672,84614292
1575123455000000000,84645564,84646504,84648656,84621728,84628496,84611808,84250432,84460852,84602576,84704792,84532556,84678552,84304788,84606540,84542232,84614944
1575123456000000000,84645564,84646504,84649324,84626552,84629840,84611808,84250496,84460872,84602576,84704792,84532556,84678700,84304656,84606540,84542496,84615016
1575123457000000000,84645564,84647008,84649968,84626684,84630400,84611808,84250660,84460872,84602576,84704792,84532556,84678652,84304664,84606540,84542620,84615016
1575123458000000000,84643408,84646916,84651636,84624040,84629292,84610568,84246672,84459664,84601956,84704700,84532556,84676288,84301964,84604492,84541876,84613900
1575123459000000000,84643408,84646916,84651992,84624296,84629428,84610568,84247396,84460292,84601956,84704700,84532660,84676288,84302468,84604492,84541972,84614016
1575123460000000000,84643408,84646916,84652264,84624496,84629560,84610568,84247688,84460292,84601956,84704700,84532660,84676968,84303300,84604492,84543160,84614404
1575123461000000000,84643408,84646916,84652264,84624620,84629648,84610568,84247936,84460292,84601956,84704700,84532660,84676968,84304548,84604492,84543284,84614416
1575123462000000000,84643408,84646916,84652388,84624588,84629648,84610568,84247936,84460292,84601956,84704700,84533164,84677140,84305548,84604492,84543284,84614416
1575123463000000000,84643408,84646716,84652512,84624620,84629648,84610568,84247996,84460292,84602468,84704700,84533164,84677140,84306052,84604492,84543408,84614416
1575123464000000000,84643408,84646716,84652512,84624620,84629696,84610568,84248060,84460292,84603292,84704700,84533296,84677328,84306320,84604492,84543560,84614416
1575123465000000000,84643408,84646720,84652668,84625768,84629696,84610568,84248204,84460292,84603344,84704700,84533296,84677468,84306352,84604492,84543668,84614580
1575123466000000000,84643408,84646992,84652700,84625824,84629696,84607932,84248460,84460292,84604068,84704700,84533304,84677732,84306368,84604492,84543064,84613504
1575123467000000000,84643408,84647372,84652748,84625584,84629696,84607932,84248460,84460292,84605324,84704700,84533304,84677684,84305848,84604492,84543064,84613504
1575123468000000000,84643408,84647084,84652872,84625956,84629696,84608156,84248616,84460292,84605368,84704700,84533304,84677800,84305848,84604492,84543620,84613612
1575123469000000000,84643408,84647084,84652932,84625956,84629696,84608940,84248616,84460292,84605368,84704700,84533304,84677940,84305880,84604492,84543604,84613968
1575123470000000000,84643408,84647084,84653492,84625956,84629696,84609608,84248616,84460292,84605492,84704700,84533304,84677940,84305880,84604988,84543480,84613968
1575123471000000000,84643600,84647084,84653488,84625956,84629696,84609640,84248616,84460292,84605492,84704700,84533304,84677940,84305880,84605680,84543528,84614140
1575123472000000000,84642556,84647084,84653488,84625956,84629760,84609720,84248616,84460292,84605556,84704700,84533304,84678200,84305880,84605880,84543560,84614140
1575123473000000000,84642680,84647608,84653488,84625956,84629760,84609720,84249140,84460292,84605568,84704700,84533304,84678200,84305896,84606172,84543544,84614148
1575123474000000000,84642712,84646988,84652900,84626080,84629760,84609720,84248520,84459736,84605196,84704648,84532684,84677656,84305276,84605552,84543560,84614280
1575123475000000000,84642712,84646988,84652948,84625956,84629264,84609720,84248520,84459736,84603072,84704648,84532684,84676788,84305276,84605552,84543560,84614292
1575123476000000000,84642844,84648908,84652948,84626328,84629264,84609720,84248520,84459736,84603196,84704648,84532684,84677036,84305276,84605584,84543584,84614664
1575123477000000000,84642844,84649608,84652948,84626832,84629264,84609720,84248720,84459736,84603320,84704648,84532684,84677492,84305276,84605584,84543956,84615108
1575123478000000000,84642884,84650460,84652948,84626832,84629264,84609720,84248672,84459736,84603320,84704648,84533200,84677740,84305276,84606056,84543956,84615356
1575123479000000000,84643300,84650584,84653184,84626832,84629264,84609720,84248672,84459736,84603320,84705356,84533200,84677740,84305276,84606304,84544004,84615528
1575123480000000000,84643428,84650584,84653556,84626840,84629264,84609752,84248672,84459736,84603320,84705656,84533200,84678244,84305276,84606304,84544020,84615648
1575123481000000000,84643552,84650584,84653556,84626808,84629264,84609752,84248656,84459736,84603320,84706640,84533200,84678400,84305276,84606304,84544020,84615648
1575123482000000000,84643552,84650776,84653540,84626840,84629264,84609752,84248704,84459736,84603320,84707408,84533276,84678324,84305948,84606304,84544020,84615904
