Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575099540000000000,90017512,90029884,90042596,90000608,90019916,90012512,89652592,89891676,89998772,90106464,89930068,90065692,89680224,89999512,89941940,90026884
1575099541000000000,90017512,90030396,90042596,90000632,90019916,90012512,89652592,89891676,89998772,90106464,89930068,90065732,89680224,89999512,89942080,90026884
1575099542000000000,89823056,89810500,89857936,89818436,89838512,89785968,89422568,89707328,89770728,89908228,89711924,89856472,89461600,89781104,89712788,89844004
1575099543000000000,89808820,89810500,89855732,89809384,89834724,89785968,89415624,89707352,89765984,89908228,89711924,89845312,89450680,89768096,89712764,89826636
1575099544000000000,89809816,89797608,89855732,89800324,89834724,89785440,89410636,89707352,89763056,89907700,89711304,89843436,89450680,89768096,89712732,89826932
1575099545000000000,89810284,89798716,89855732,89800364,89834724,89785440,89410768,89707352,89763072,89896168,89711304,89843628,89450680,89768096,89712916,89827188
1575099546000000000,89810500,89799580,89855732,89800340,89834724,89785440,89410768,89707352,89762968,89896196,89711304,89843916,89450764,89768096,89712916,89827220
1575099547000000000,89810508,89799672,89855732,89800340,89834724,89771304,89410768,89707352,89763008,89896352,89711304,89844428,89451268,89768600,89713140,89827344
1575099548000000000,89810540,89799672,89855732,89800340,89834724,89771396,89411160,89707352,89763008,89896360,89711304,89844580,89451364,89768600,89713016,89827344
1575099549000000000,89811368,89799672,89855732,89800372,89834724,89771552,89411152,89707352,89763008,89896392,89711304,89844660,89451364,89768600,89713048,89827344
1575099550000000000,89811508,89799704,89855732,89800548,89834724,89771676,89411156,89707352,89763520,89896392,89711304,89844660,89451364,89768648,89713048,89827852
1575099551000000000,89811508,89800180,89856236,89800548,89834724,89771676,89411188,89707352,89763520,89896392,89711304,89845168,89451868,89768648,89713080,89827964
1575099552000000000,89811508,89800352,89856236,89800548,89834568,89771880,89411264,89707352,89763520,89896392,89711304,89845240,89451868,89768696,89713048,89827964
1575099553000000000,89811592,89800352,89844580,89801556,89834616,89771880,89411264,89707352,89763520,89896392,89711304,89845428,89451868,89767940,89713048,89827964
1575099554000000000,89811600,89800428,89844940,89801556,89835128,89771880,89411264,89707352,89764024,89896392,89711304,89845428,89451868,89768076,89713032,89827996
1575099555000000000,89811632,89800428,89845588,89801980,89822200,89771880,89411240,89707352,89755560,89896360,89711304,89845420,89451868,89768684,89713136,89828120
1575099556000000000,89811632,89800428,89845588,89802020,89822448,89771880,89411224,89707352,89755796,89896392,89696356,89845556,89444964,89768700,89713152,89828104
1575099557000000000,89811804,89800412,89845740,89802020,89822796,89771880,89411224,89707352,89755940,89896392,89696844,89845468,89445280,89768700,89713120,89828096
1575099558000000000,89811812,89800412,89842088,89802020,89822864,89771880,89411332,89707352,89756188,89896392,89697268,89845476,89445916,89768684,89713088,89828088
1575099559000000000,89811812,89800412,89842088,89801988,89822864,89771880,89411332,89707352,89756216,89896392,89697268,89845476,89445556,89768684,89713124,89828260
1575099560000000000,89811812,89800412,89842088,89801988,89822864,89771880,89411328,89707352,89751184,89896360,89689168,89845476,89445556,89768684,89709624,89828244
1575099561000000000,89811804,89800412,89842088,89802020,89822864,89772520,89411328,89707352,89753156,89896392,89689004,89845476,89445556,89768684,89709556,89828244
1575099562000000000,89811804,89800412,89841180,89802020,89822864,89772768,89411296,89707352,89753312,89896392,89689252,89845556,89445556,89768872,89709800,89828244
1575099563000000000,89811804,89800536,89841204,89802020,89822864,89772768,89411652,89707352,89753412,89896392,89689508,89845620,89445556,89768872,89709916,89828240
1575099564000000000,89811804,89800536,89841204,89802100,89822864,89772768,89411700,89700960,89753536,89890108,89689424,89845788,89445556,89764692,89709932,89828240
1575099565000000000,89811884,89800536,89841460,89802100,89822864,89772768,89411700,89700960,89753660,89890076,89689424,89845788,89445556,89764708,89710052,89828240
1575099566000000000,89811884,89800536,89841512,89802068,89823116,89772768,89411700,89700960,89753784,89890584,89690056,89845876,89445556,89764708,89710592,89828232
1575099567000000000,89811916,89800536,89842200,89802100,89823116,89772768,89411748,89700960,89754452,89890584,89690056,89845828,89445556,89764708,89710608,89828264
1575099568000000000,89811916,89800536,89841896,89802284,89823116,89772768,89411948,89700960,89754572,89891096,89690056,89845828,89445556,89764732,89710616,89828296
1575099569000000000,89811916,89800536,89842020,89802252,89823116,89772768,89408512,89701472,89754572,89891096,89690436,89845828,89445556,89764732,89710616,89828296
1575099570000000000,89811916,89800536,89842100,89802284,89823116,89772768,89408560,89701472,89754572,89891096,89690948,89845828,89445556,89764732,89710616,89828296
1575099571000000000,89811916,89800536,89842464,89802284,89823116,89772768,89409624,89701472,89754572,89891096,89690932,89845828,89445556,89765748,89710760,89828484
1575099572000000000,89811916,89800536,89843616,89802332,89823116,89772768,89409704,89701976,89754572,89891604,89690932,89845940,89445556,89765764,89710760,89828592
