Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575085353000000000,90480536,90491296,90508088,90468532,90460464,90471912,90099892,90336292,90451764,90562592,90388084,90520960,90153108,90455324,90387192,90477412
1575085354000000000,90480536,90491296,90508088,90468532,90460900,90471912,90099924,90336292,90452012,90562592,90388084,90520992,90153132,90455324,90387144,90477572
1575085355000000000,90275056,90309276,90327504,90272368,90283948,90284976,89919356,90151272,90257368,90373696,90185212,90319664,89968848,90272044,90181812,90282516
1575085356000000000,90275056,90309276,90327504,90260164,90281616,90281380,89912544,90144792,90256008,90373696,90185212,90304460,89968980,90272044,90181812,90268540
1575085357000000000,90275056,90309276,90327504,90260104,90281616,90281380,89906352,90143876,90256008,90373696,90185212,90304628,89968980,90257872,90182536,90268708
1575085358000000000,90275056,90294820,90327504,90260568,90281616,90281380,89906364,90143876,90256008,90373696,90185212,90305492,89968980,90257940,90183224,90269860
1575085359000000000,90275180,90294932,90326976,90260644,90281616,90281380,89906792,90143876,90256008,90373696,90185212,90305612,89954644,90258160,90183304,90269860
1575085360000000000,90275180,90295628,90326976,90261028,90269156,90281380,89906856,90143876,90256520,90373696,90185212,90305612,89954784,90258284,90183336,90269828
1575085361000000000,90275200,90295504,90310996,90261208,90269552,90281380,89906856,90143876,90256520,90373696,90185212,90306652,89955284,90258284,90183664,90269672
1575085362000000000,90259024,90295536,90311652,90261828,90270296,90281380,89906888,90143876,90256520,90373696,90185212,90307116,89955624,90258288,90184676,90270420
1575085363000000000,90259828,90296172,90311196,90262332,90270296,90281884,89908036,90144396,90247776,90373696,90185220,90307116,89956140,90259452,90184848,90270932
1575085364000000000,90260552,90296172,90311796,90262520,90270824,90281884,89908052,90134636,90248304,90373696,90185220,90307424,89951664,90259436,90184856,90270876
1575085365000000000,90260848,90296172,90311812,90262916,90270824,90281884,89908060,90134884,90248304,90373696,90185220,90307448,89951852,90259436,90185084,90270860
1575085366000000000,90261004,90296172,90311812,90263164,90270824,90281884,89908148,90135628,90249076,90373696,90185220,90307736,89951852,90259560,90185092,90270908
1575085367000000000,90261004,90296172,90311812,90263180,90270824,90281884,89908784,90135628,90249076,90361552,90185220,90307688,89951852,90259560,90185240,90270908
1575085368000000000,90261004,90296172,90311936,90263336,90270824,90281884,89908784,90135628,90250084,90361440,90185220,90307968,89951944,90259560,90185240,90270876
1575085369000000000,90261132,90296172,90311968,90263508,90270824,90281884,89908712,90135628,90250084,90361540,90185220,90308472,89951976,90259596,90185396,90270876
1575085370000000000,90261008,90296172,90312000,90263612,90270824,90273420,89908736,90135628,90250084,90361540,90185220,90308636,89951976,90259596,90185404,90270876
1575085371000000000,90261008,90296676,90312044,90263612,90270824,90273672,89908864,90135628,90250084,90360692,90185220,90308636,89952580,90260100,90185564,90270956
1575085372000000000,90261008,90296676,90312044,90263644,90271332,90274168,89908988,90135628,90250084,90360692,90171864,90308636,89952580,90260100,90185564,90270924
1575085373000000000,90261096,90296676,90312076,90263768,90271332,90274168,89908988,90135628,90250084,90360692,90171912,90308956,89952612,90260100,90185564,90270924
1575085374000000000,90261220,90296676,90312076,90263768,90271332,90274292,89908988,90135628,90250084,90360692,90172168,90309004,89952736,90260100,90185580,90270908
1575085375000000000,90261220,90296676,90312076,90263920,90271332,90274292,89909336,90136132,90250576,90360768,90172180,90309004,89953240,90260100,90185580,90270932
1575085376000000000,90261220,90296676,90312076,90263968,90271332,90273456,89909336,90136132,90250576,90360768,90172244,90309004,89953240,90260100,90185580,90270932
1575085377000000000,90261508,90296676,90312076,90264092,90271332,90273580,89909336,90136132,90250576,90361016,90172244,90309164,89953300,90260100,90185580,90270940
1575085378000000000,90261508,90296676,90312076,90264092,90271332,90273580,89909336,90136132,90250576,90361800,90172244,90309164,89953244,90260100,90185612,90270940
1575085379000000000,90261508,90296676,90312076,90264256,90271332,90273580,89909428,90136132,90250632,90361800,90172244,90309164,89953196,90260100,90185784,90270940
1575085380000000000,90261508,90296676,90312272,90264256,90271332,90273580,89909476,90136132,90250632,90361924,90172276,90309164,89953228,90260100,90185816,90270940
1575085381000000000,90261476,90297752,90312448,90264456,90271332,90273580,89909476,90136132,90250632,90361356,90172276,90309164,89953228,90260100,90185816,90270908
1575085382000000000,90261500,90297752,90312480,90264456,90271332,90273580,89909476,90136132,90250632,90361356,90172276,90309340,89953196,90260328,90185980,90270940
1575085383000000000,90261532,90297912,90312480,90264456,90271332,90273580,89909556,90136132,90250632,90361356,90172400,90309340,89953196,90260360,90185980,90270972
1575085384000000000,90261532,90297912,90312604,90264504,90271332,90273580,89909556,90136080,90250632,90361356,90172400,90309340,89953196,90260360,90185980,90270924
1575085385000000000,90261532,90297928,90312636,90264784,90271332,90274140,89909540,90136204,90250756,90361356,90172400,90309464,89953196,90260360,90185972,90270944
1575085386000000000,90261532,90297928,90312636,90264784,90271332,90273600,89909540,90136204,90250756,90361356,90172400,90309604,89953196,90260576,90186220,90270944
1575085387000000000,90261380,90297928,90312636,90264888,90271332,90273584,89909628,90136204,90250756,90361356,90172400,90309556,89953196,90260608,90186220,90270944
1575085388000000000,90261380,90297928,90312636,90264888,90271332,90273584,89909636,90136204,90250872,90361356,90172400,90309556,89953196,90260608,90186252,90270976
1575085389000000000,90261380,90297928,90311052,90264840,90271332,90273584,89909540,90136204,90250872,90361356,90171328,90309556,89956408,90260608,90186252,90270976
1575085390000000000,90261380,90297928,90306592,90264840,90271332,90274064,89909540,90136204,90250872,90361356,90168004,90309680,89956408,90260616,90186408,90270944
1575085391000000000,90261380,90298148,90306592,90264920,90271332,90274064,89909540,90136204,90250872,90361356,90168004,90309760,89956416,90260616,90186456,90270976
1575085392000000000,90261380,90298148,90306592,90265044,90271836,90274400,89909896,90136204,90250872,90361356,90168036,90309792,89956416,90260896,90186456,90271088
1575085393000000000,90261380,90298120,90306592,90265044,90271836,90274296,89909896,90136204,90250872,90361976,90168068,90309792,89956416,90260896,90185948,90271088
1575085394000000000,90261332,90298208,90309056,90265076,90271836,90274360,89909896,90136444,90250988,90361976,90168576,90309904,89956548,90260896,90185948,90271040
1575085395000000000,90261332,90298240,90309304,90265212,90271836,90274360,89909988,90136964,90250988,90362412,90168608,90309984,89956548,90260896,90185932,90271016
