Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575128762000000000,90005348,90022048,90016080,89990712,89996512,89993072,89638580,89855532,89976032,90069076,89897240,90044916,89683136,89964496,89905196,90001108
1575128763000000000,89999236,90018164,90013432,89984512,89991780,89983020,89632780,89853592,89965372,90065380,89890744,90041744,89676820,89963216,89903104,89995080
1575128764000000000,89883736,89901056,89898016,89867852,89874300,89868804,89517560,89738584,89851084,89943548,89776368,89925896,89560624,89846396,89785984,89878328
1575128765000000000,89553304,89381080,89566324,89469156,89352160,89538112,89186988,89408344,89462384,89612768,89445940,89595204,89210652,89283228,89360032,89547600
1575128766000000000,89126116,89146044,89140044,89109084,89116484,89110592,88759744,88980564,89093036,89184556,89018688,89168140,88804064,89090336,89029988,89120364
1575128767000000000,89128572,89146044,89140044,89109068,89116632,89111292,88759760,88980564,89092692,89184556,89018688,89168148,88804064,89090312,89030120,89120504
1575128768000000000,89129208,89146072,89140300,89109068,89116752,89111416,88759712,88980688,89092704,89188024,89018688,89168392,88804064,89090312,89030720,89121016
1575128769000000000,89129416,89146072,89140448,89109544,89116968,89111416,88759960,88980812,89092704,89188024,89018696,89168516,88804064,89090444,89030808,89121344
1575128770000000000,89129780,89146168,89140448,89109544,89117092,89111416,88759960,88980812,89092704,89186912,89018696,89168876,88804064,89090444,89030928,89121400
1575128771000000000,89129780,89146168,89140576,89109544,89118712,89111416,88760324,88980812,89092704,89187184,89018696,89168876,88804064,89090444,89031060,89121408
1575128772000000000,89129780,89145756,89140576,89109544,89119156,89111540,88760324,88980920,89092704,89185860,89019216,89169080,88804064,89090444,89031200,89121656
1575128773000000000,89129784,89145756,89140576,89109544,89119280,89111540,88760324,88980920,89092704,89186916,89019216,89169856,88804064,89090444,89031468,89122032
1575128774000000000,89130676,89145756,89140656,89109544,89119404,89111680,88760324,88981168,89092804,89187336,89019348,89169968,88804064,89090444,89031472,89122016
1575128775000000000,89130676,89145756,89140656,89109544,89119404,89111680,88760524,88981296,89093176,89187376,89019512,89169944,88804064,89090524,89031800,89121984
1575128776000000000,89130700,89145756,89140788,89109544,89119696,89111688,88760588,88981296,89093176,89187376,89019520,89170068,88804064,89090524,89031800,89122040
1575128777000000000,89130700,89145756,89140788,89109544,89119696,89111688,88760588,88981828,89093176,89187376,89019520,89169952,88804076,89090524,89031732,89122208
1575128778000000000,89130824,89145756,89141292,89109544,89119696,89111688,88760588,88981828,89093680,89187376,89019520,89169952,88804076,89090648,89031732,89122208
1575128779000000000,89130824,89146236,89141292,89109544,89119696,89111688,88760656,88981828,89094188,89187500,89019520,89170116,88804076,89090648,89031708,89122340
1575128780000000000,89130824,89146236,89141292,89109544,89119696,89111796,88760660,88981828,89094188,89187500,89019696,89170240,88804076,89090788,89032076,89122340
1575128781000000000,89130824,89141756,89141292,89109544,89110396,89111796,88760628,88981828,89094572,89187500,89019696,89170328,88804076,89090912,89024332,89122604
1575128782000000000,89130824,89141652,89141292,89109544,89113636,89112424,88760660,88981828,89094572,89187500,89019696,89170608,88804076,89090956,89027524,89122628
1575128783000000000,89130824,89141652,89141292,89109544,89113644,89112424,88760660,88981852,89094772,89186880,89019696,89170608,88804076,89091464,89027692,89122628
