Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575093289000000000,90478416,90491804,90486312,90468952,90479472,90473740,90111600,90341548,90457924,90541820,90375756,90541520,90147056,90443800,90394452,90492980
1575093290000000000,90385260,90400108,90395020,90374796,90385216,90381716,90016472,90249036,90358904,90450576,90283156,90445636,90054172,90348776,90298788,90401416
1575093291000000000,90140064,90156588,90150444,90128792,90139656,90134168,89770868,90003716,90113088,90204628,90038084,90197964,89808044,90103268,90054540,90153800
1575093292000000000,89598132,89611948,89607024,89586176,89596896,89593328,89230080,89461372,89571900,89662696,89494880,89656652,89266424,89562020,89509936,89612672
1575093293000000000,89598132,89611948,89607368,89585904,89596880,89593328,89229848,89461372,89571900,89662696,89494880,89656280,89265452,89562020,89509936,89612176
1575093294000000000,89598132,89611948,89607368,89585912,89596880,89593328,89229848,89461372,89571900,89662696,89494920,89656288,89265492,89562020,89510036,89612020
1575093295000000000,89598132,89611948,89607368,89585944,89596888,89593328,89229848,89461372,89571900,89662696,89494920,89656288,89265444,89562020,89510036,89612108
1575093296000000000,89598132,89611948,89607872,89585944,89596888,89593328,89229848,89461372,89571900,89662696,89494920,89656288,89265444,89562020,89510084,89612172
1575093297000000000,89598132,89611948,89607872,89585928,89596888,89593328,89229864,89461372,89571900,89658756,89494920,89656288,89265476,89562020,89510084,89612172
1575093298000000000,89598132,89611948,89607872,89585928,89596888,89593328,89229864,89461372,89571900,89659260,89494920,89656288,89265476,89562020,89510084,89612172
1575093299000000000,89598132,89611948,89607872,89586052,89596888,89593328,89229864,89461372,89571900,89659500,89494920,89656288,89265476,89562020,89510424,89612220
1575093300000000000,89598132,89611948,89607872,89586052,89596888,89593328,89229864,89461372,89571900,89659540,89494920,89656596,89265476,89562020,89510424,89612268
1575093301000000000,89598132,89611948,89607872,89586052,89596888,89593328,89229864,89461372,89571900,89659540,89494920,89656604,89265476,89562528,89510424,89612268
1575093302000000000,89598132,89611948,89607872,89586320,89596840,89593328,89229832,89461372,89571900,89659540,89494920,89656636,89265476,89562528,89510424,89612268
1575093303000000000,89598132,89611948,89607872,89586396,89596840,89593328,89229832,89461372,89571900,89659540,89494920,89656620,89265476,89562528,89510384,89612284
1575093304000000000,89598132,89611948,89607872,89586396,89596840,89593328,89229832,89461372,89571900,89659540,89494920,89656620,89265476,89562528,89510384,89612236
1575093305000000000,89598132,89611948,89607872,89586396,89596840,89593832,89229832,89461372,89571900,89659540,89494912,89656768,89265476,89562528,89510416,89612236
1575093306000000000,89598132,89611948,89607872,89586460,89596840,89593832,89229832,89461372,89571900,89659616,89494912,89656768,89265476,89562544,89510416,89612236
1575093307000000000,89598660,89611948,89607872,89586584,89596840,89593832,89229880,89461372,89571900,89659740,89494912,89656768,89265476,89562544,89510368,89612268
1575093308000000000,89598660,89611968,89607872,89586584,89596840,89593832,89230052,89460700,89571900,89659740,89495672,89656784,89265476,89562544,89510368,89612268
1575093309000000000,89598660,89611968,89607880,89586584,89596840,89593832,89230052,89460976,89571900,89659740,89495932,89656784,89265476,89562544,89510368,89612268
1575093310000000000,89598660,89612092,89607880,89586708,89596840,89593832,89230052,89461044,89571900,89659740,89495988,89656784,89265476,89562544,89510368,89612268
1575093311000000000,89598660,89612092,89607884,89586756,89596840,89593020,89230052,89461044,89571900,89659740,89496112,89656768,89265476,89562544,89510416,89612424
1575093312000000000,89598660,89612092,89608124,89586756,89596840,89593144,89230144,89461044,89572416,89659740,89496236,89656768,89265476,89562544,89510416,89612392
1575093313000000000,89598660,89612092,89608124,89586756,89596840,89593236,89230144,89461044,89572416,89659864,89496236,89656784,89265476,89562544,89510416,89612392
1575093314000000000,89598880,89612092,89608248,89586724,89596848,89593360,89230176,89461044,89572416,89660372,89496308,89656784,89265460,89562544,89510516,89612268
1575093315000000000,89598880,89612116,89608276,89586692,89596848,89593360,89230176,89461152,89572416,89660380,89496492,89656784,89265460,89562544,89510548,89612268
1575093316000000000,89598880,89612084,89608276,89586848,89596848,89593360,89230160,89461136,89563380,89660364,89496524,89656736,89259792,89563068,89510548,89612392
1575093317000000000,89598880,89612084,89608400,89586840,89596972,89593360,89230160,89461136,89563128,89660364,89496612,89651108,89259792,89563100,89510628,89612392
1575093318000000000,89592608,89605788,89603368,89581024,89591140,89587452,89223616,89455692,89563160,89660364,89490712,89650848,89259792,89557116,89505072,89606864
1575093319000000000,89592608,89605788,89603368,89576180,89591140,89580900,89223396,89455692,89563160,89656752,89490836,89650936,89259792,89557120,89505220,89606456
1575093320000000000,89592608,89605788,89603384,89574880,89591140,89577400,89223396,89455692,89565980,89656828,89490836,89650936,89262320,89557080,89505172,89606456
1575093321000000000,89592608,89605788,89603384,89574932,89591140,89577400,89223412,89455692,89565964,89656828,89490836,89653944,89262320,89557080,89505172,89606332
1575093322000000000,89594964,89608088,89605996,89577824,89592984,89580816,89226348,89457096,89565288,89656828,89493188,89653944,89260352,89560104,89508536,89609892
1575093323000000000,89594964,89608088,89606120,89580824,89592984,89580816,89226364,89457096,89564588,89656828,89493188,89652976,89257200,89560104,89508544,89610060
1575093324000000000,89591204,89603184,89604524,89579696,89594100,89579688,89221756,89455992,89562920,89656828,89490980,89652160,89256696,89555388,89505080,89609372
1575093325000000000,89592708,89604696,89604648,89578140,89593164,89580524,89222648,89455096,89561828,89656828,89491984,89648900,89257244,89556784,89506748,89609108
1575093326000000000,89589572,89599584,89602420,89576592,89590092,89579224,89222300,89454068,89562076,89656828,89489456,89649744,89257376,89552600,89503364,89606048
1575093327000000000,89594888,89603016,89602568,89578000,89589944,89581108,89227144,89454116,89562700,89656828,89492908,89649744,89258136,89554792,89503436,89610608
1575093328000000000,89595296,89603204,89602568,89583600,89589944,89581324,89227144,89454084,89562868,89656828,89493156,89654896,89258384,89554792,89505076,89610740
1575093329000000000,89595376,89603204,89602568,89583608,89590304,89581324,89227248,89454084,89562868,89653980,89493412,89654864,89258384,89554792,89506416,89610756
1575093330000000000,89595768,89603204,89602568,89583608,89590304,89581332,89227248,89454084,89562436,89653864,89493412,89654896,89258384,89554792,89506392,89610756
1575093331000000000,89595768,89603204,89602576,89583492,89596432,89581332,89227364,89454084,89565252,89654224,89493412,89654896,89258756,89554792,89506392,89610772
1575093332000000000,89595924,89603204,89602584,89583660,89596776,89581332,89227364,89454084,89565260,89654192,89493580,89654896,89258828,89554792,89506512,89610748
1575093333000000000,89595932,89603204,89602584,89583660,89596776,89581332,89227620,89454084,89565260,89657748,89493608,89654904,89259280,89554792,89506520,89610748
1575093334000000000,89596056,89603204,89603276,89583660,89597132,89581332,89227628,89454084,89565348,89657724,89493664,89655060,89259760,89554792,89506520,89610780
1575093335000000000,89596056,89603204,89603276,89584152,89597140,89581332,89227628,89454084,89565516,89654244,89493904,89655076,89259760,89554792,89506520,89610992
1575093336000000000,89596056,89603204,89603504,89584184,89597140,89581332,89227596,89454084,89565516,89651264,89493856,89655076,89259760,89550600,89506644,89611000
1575093337000000000,89596056,89603204,89603660,89584340,89597140,89581332,89227596,89454084,89565516,89648076,89493872,89655076,89259716,89551104,89506644,89611000
1575093338000000000,89596056,89603204,89603660,89584340,89597140,89581332,89227720,89454084,89565516,89650212,89494052,89655264,89259708,89551104,89506716,89611000
1575093339000000000,89596056,89603204,89603660,89584340,89596216,89581332,89227720,89454084,89565516,89650440,89494052,89654808,89260136,89551104,89506188,89610380
1575093340000000000,89596056,89603204,89603908,89584340,89591168,89581332,89227720,89454084,89565516,89650440,89494052,89650988,89260160,89551104,89502252,89609036
1575093341000000000,89596056,89603204,89603908,89584416,89591168,89581332,89227968,89454084,89565640,89650628,89494052,89650988,89260292,89551104,89504336,89609044
1575093342000000000,89596056,89603204,89603908,89584416,89591168,89581332,89228000,89454084,89565640,89650628,89494052,89650988,89260392,89551104,89504336,89609044
1575093343000000000,89596056,89603204,89603908,89584416,89591168,89581332,89228000,89454084,89565640,89650628,89494052,89650988,89262684,89551104,89504312,89609044
1575093344000000000,89596056,89603204,89603908,89584464,89591168,89581816,89228000,89454084,89565648,89651016,89494132,89650988,89262628,89552116,89504376,89609020
1575093345000000000,89596056,89603204,89603908,89584416,89591168,89581816,89228000,89454084,89565648,89651016,89494132,89650988,89262628,89552116,89504500,89609076
1575093346000000000,89596056,89603204,89603908,89584456,89591168,89581816,89228040,89454084,89565648,89657060,89494532,89650988,89262628,89552116,89504508,89608920
1575093347000000000,89596056,89603204,89603908,89584456,89591168,89581816,89228040,89454084,89565648,89657236,89494532,89650988,89262628,89552116,89504640,89608936
1575093348000000000,89596056,89603204,89603908,89584568,89591168,89582080,89228024,89454084,89565648,89657392,89494532,89650988,89262628,89552116,89504664,89608936
1575093349000000000,89596844,89603204,89603908,89584568,89591168,89582584,89228024,89454084,89565648,89657392,89494532,89652760,89262628,89552116,89504664,89608968
1575093350000000000,89596844,89603204,89603908,89584568,89591168,89582584,89228008,89454084,89565780,89657516,89494532,89652760,89262636,89552116,89504608,89608968
1575093351000000000,89596924,89603708,89603908,89584568,89591168,89582864,89228008,89454084,89566284,89657516,89494532,89652804,89262636,89552116,89504608,89609268
1575093352000000000,89597348,89603708,89603908,89584568,89591168,89582864,89228008,89454084,89566284,89657516,89494532,89652804,89262636,89552116,89504952,89609228
1575093353000000000,89597380,89603708,89603908,89584796,89591168,89582864,89228008,89454084,89566284,89657516,89494532,89652828,89262636,89552116,89504952,89609564
1575093354000000000,89597380,89603708,89603908,89584764,89591168,89582864,89228008,89456084,89566284,89657516,89494532,89653336,89262636,89552620,89504952,89609540
1575093355000000000,89597380,89604220,89603908,89584796,89591168,89582864,89228132,89456340,89566284,89657516,89494532,89653368,89262636,89552620,89505004,89609532
1575093356000000000,89597456,89604220,89603908,89584796,89591168,89582864,89228132,89456752,89566284,89657516,89494532,89653336,89262636,89552620,89505172,89609500
1575093357000000000,89597464,89604220,89603908,89584984,89591168,89582864,89228132,89456716,89566292,89657516,89494532,89653336,89262636,89552620,89505172,89609500
1575093358000000000,89597764,89604220,89603908,89583136,89591168,89583376,89228132,89457864,89566292,89657516,89494532,89653440,89262760,89552620,89505172,89603704
1575093359000000000,89598052,89604220,89603908,89583136,89591168,89583376,89228652,89458232,89564596,89657516,89494532,89653440,89262760,89552620,89505172,89606808
1575093360000000000,89598036,89609964,89603908,89583136,89591168,89583376,89228652,89458324,89564596,89657516,89494532,89653564,89263808,89552620,89505260,89606732
1575093361000000000,89598036,89609940,89603908,89583144,89591168,89583376,89228620,89458900,89564596,89657516,89494532,89653564,89263768,89552620,89505260,89606740
1575093362000000000,89598036,89609940,89603908,89583152,89591168,89583376,89228620,89458900,89564596,89657516,89496464,89653564,89263800,89552620,89505332,89606748
1575093363000000000,89598036,89609940,89603908,89583256,89591168,89582336,89228620,89455736,89564596,89657516,89496588,89653564,89263808,89552620,89505488,89606844
1575093364000000000,89598176,89609940,89603908,89583504,89591168,89582336,89228840,89455744,89564596,89657516,89496596,89653564,89263932,89552620,89505488,89606768
1575093365000000000,89598176,89609940,89603908,89583528,89591828,89582320,89228840,89455760,89564596,89657516,89496720,89653596,89263932,89552620,89505456,89606768
1575093366000000000,89598208,89610064,89608504,89583740,89590092,89582320,89228840,89455760,89564720,89658020,89496844,89653596,89263932,89552620,89505576,89606800
1575093367000000000,89598328,89610064,89608536,89583828,89590060,89582300,89228840,89455760,89564720,89658020,89496852,89653596,89263940,89552620,89505592,89607104
1575093368000000000,89598480,89610064,89608660,89583884,89590060,89582680,89228840,89455760,89564720,89658020,89496852,89653628,89263940,89552620,89505592,89607104
1575093369000000000,89598480,89610064,89608660,89583776,89590124,89582976,89228940,89455892,89564720,89658020,89496976,89653712,89263940,89552620,89505592,89607236
1575093370000000000,89598668,89610064,89608660,89583776,89590124,89583312,89228940,89455892,89564720,89658020,89497100,89653680,89263940,89559120,89505592,89607236
1575093371000000000,89598668,89610064,89608660,89583776,89590248,89583612,89228816,89455892,89564720,89658020,89497100,89653680,89263940,89559244,89505728,89607348
1575093372000000000,89598668,89610096,89608908,89583776,89590248,89583612,89228816,89455892,89564720,89658020,89497100,89653680,89263940,89559244,89505760,89607348
1575093373000000000,89598668,89610096,89608908,89583776,89590248,89583612,89228816,89456016,89564720,89658020,89497100,89653680,89263940,89559244,89505744,89607348
1575093374000000000,89598668,89610096,89608908,89584008,89590248,89583612,89228816,89456016,89564720,89658020,89497100,89653680,89264064,89559748,89505744,89607472
1575093375000000000,89598668,89610096,89609032,89584008,89590248,89583612,89228816,89456016,89564720,89658020,89497100,89653792,89264064,89559748,89505752,89607504
1575093376000000000,89598668,89610112,89609032,89583976,89590360,89583612,89228816,89456016,89564720,89658020,89497100,89653808,89264064,89559824,89505956,89607472
1575093377000000000,89598792,89610112,89609032,89583976,89590464,89583612,89228816,89456016,89564720,89658020,89497100,89653808,89264064,89559824,89505956,89607628
1575093378000000000,89598792,89610112,89609156,89583976,89590464,89583612,89229004,89456016,89564720,89658524,89497100,89653808,89264064,89559824,89505956,89607628
1575093379000000000,89598792,89610112,89609156,89584212,89590472,89583612,89229004,89453984,89564720,89658524,89497100,89654044,89264064,89559824,89505956,89607692
1575093380000000000,89598792,89610112,89609140,89584276,89590520,89583612,89229028,89454356,89564720,89658524,89497100,89654028,89264188,89559808,89506280,89607692
1575093381000000000,89598792,89607596,89609140,89584424,89582336,89583612,89229028,89456856,89566336,89658524,89497100,89654532,89264188,89559808,89500708,89607692
1575093382000000000,89598792,89608100,89609140,89584424,89583356,89583612,89229028,89456856,89566336,89658524,89497100,89654500,89264188,89559808,89502120,89607816
1575093383000000000,89598792,89608100,89609140,89584408,89585692,89583612,89229028,89456856,89566336,89658524,89497100,89654604,89264188,89559808,89502280,89607816
1575093384000000000,89598792,89608100,89609140,89584408,89587236,89583736,89229028,89456856,89566212,89658524,89497100,89654728,89264188,89559808,89502608,89607784
1575093385000000000,89598792,89608100,89609140,89584488,89587236,89583736,89229028,89456952,89566212,89658524,89497100,89654728,89264188,89559808,89502944,89607816
1575093386000000000,89598792,89608100,89609264,89584488,89587236,89583736,89229028,89456952,89566336,89658524,89497100,89654728,89264188,89559808,89503068,89607816
1575093387000000000,89598792,89608100,89609264,89584520,89587348,89583736,89229028,89456952,89566336,89658524,89497100,89654728,89264188,89559808,89503068,89607816
1575093388000000000,89598792,89608100,89609264,89584520,89587348,89583736,89229108,89456952,89566336,89658524,89497100,89654768,89264188,89559808,89503132,89607816
1575093389000000000,89598792,89608100,89609264,89584612,89587348,89583736,89229108,89456952,89566336,89658524,89497100,89654768,89264188,89559808,89503132,89608004
1575093390000000000,89598792,89608100,89609264,89584612,89588000,89583736,89229108,89456952,89566460,89658524,89497100,89654768,89264188,89559808,89503700,89607972
1575093391000000000,89598792,89608100,89609264,89584644,89588008,89583736,89229108,89457456,89566460,89658524,89497100,89654736,89264188,89559808,89503824,89608004
1575093392000000000,89598792,89608100,89609264,89584644,89588008,89583736,89229172,89457456,89566460,89658524,89497604,89654736,89264936,89559808,89503824,89608004
1575093393000000000,89598792,89608100,89609264,89584768,89588008,89583736,89229172,89457456,89566460,89658524,89497604,89654736,89265000,89559808,89503824,89608128
1575093394000000000,89598792,89608100,89609264,89584736,89588008,89583736,89229172,89457456,89566460,89658524,89497604,89655112,89264936,89559808,89503948,89608096
1575093395000000000,89598792,89608100,89609264,89584736,89588008,89583744,89229172,89457456,89566460,89658524,89497604,89655144,89264936,89559808,89503948,89608216
1575093396000000000,89598792,89608100,89609264,89584736,89588008,89583752,89229172,89457456,89566464,89658524,89497604,89655308,89264940,89559808,89504028,89608184
1575093397000000000,89598792,89608100,89609264,89584736,89588008,89583752,89229172,89457456,89566464,89658524,89497604,89655308,89264940,89559808,89504028,89608216
1575093398000000000,89598792,89608100,89609264,89584736,89588008,89583752,89229172,89457456,89566504,89658524,89497604,89655308,89264940,89559808,89504028,89608216
1575093399000000000,89598792,89608092,89609264,89584768,89588008,89583752,89229172,89457456,89566628,89658524,89497604,89655308,89264940,89559808,89504076,89608340
1575093400000000000,89598792,89608092,89609264,89584768,89588132,89583752,89229172,89457456,89566628,89658524,89497604,89655308,89264940,89559808,89504076,89608340
1575093401000000000,89599536,89608600,89609264,89584768,89588784,89583752,89229336,89457456,89566628,89658888,89497604,89655308,89264940,89559808,89504076,89608340
1575093402000000000,89599536,89608600,89609264,89584768,89588784,89583752,89229368,89457456,89566628,89658952,89497604,89655308,89264940,89559808,89504076,89608340
1575093403000000000,89599504,89608600,89609264,89584768,89588784,89583752,89229444,89457456,89566628,89658920,89497604,89655388,89264940,89559808,89504108,89608388
1575093404000000000,89599536,89608600,89609264,89584900,89588784,89583752,89229428,89457456,89566696,89658920,89497604,89655388,89264940,89560484,89504076,89608464
1575093405000000000,89599536,89608600,89609264,89584932,89588784,89583752,89229428,89457456,89566696,89658920,89497604,89655420,89264940,89560484,89504084,89608472
1575093406000000000,89599536,89608600,89609264,89584916,89588784,89584256,89229428,89457456,89566696,89659152,89497604,89655428,89264940,89560840,89504092,89608520
1575093407000000000,89599536,89608600,89609264,89584916,89588784,89584608,89229428,89457456,89566696,89659232,89497604,89655428,89264940,89560964,89504272,89608488
1575093408000000000,89599536,89608600,89606708,89584916,89588784,89584608,89227100,89458008,89566696,89659300,89497604,89655372,89264940,89561008,89504272,89608520
1575093409000000000,89599504,89608600,89606708,89584916,89588784,89584608,89227700,89458232,89566696,89659300,89497604,89655388,89264940,89561008,89504616,89608520
1575093410000000000,89599504,89608600,89606692,89585104,89588784,89584576,89227700,89458312,89566696,89659424,89497604,89655436,89264940,89561100,89504560,89608520
1575093411000000000,89599504,89608600,89606640,89585104,89588784,89584576,89227700,89458312,89566696,89659424,89497604,89655436,89264940,89561256,89504528,89608720
1575093412000000000,89599504,89609600,89606764,89585104,89588784,89584576,89227708,89458312,89566696,89659424,89498096,89655436,89264940,89561256,89504528,89608688
1575093413000000000,89599504,89609600,89606832,89585104,89588784,89584576,89227732,89458312,89566696,89659424,89498252,89655436,89264940,89561256,89504568,89608688
1575093414000000000,89599504,89609724,89606808,89585304,89588784,89584576,89227732,89458312,89566696,89659424,89498220,89655436,89264940,89561256,89504568,89608688
1575093415000000000,89599504,89609848,89606808,89585288,89588784,89584576,89227740,89458312,89566696,89659424,89498344,89655468,89264940,89561256,89504660,89608928
1575093416000000000,89599504,89609848,89608264,89585320,89588784,89584576,89227764,89458312,89567204,89659408,89498468,89655468,89264940,89561256,89504660,89608928
1575093417000000000,89599504,89609972,89608524,89585320,89588784,89584576,89227764,89458312,89567204,89659408,89498468,89655436,89264940,89561256,89504692,89608928
1575093418000000000,89599456,89609972,89608648,89585288,89588784,89584576,89227764,89458312,89567204,89659408,89498468,89655436,89264940,89561312,89504692,89608928
1575093419000000000,89599456,89609972,89608932,89585288,89588784,89584576,89227764,89458312,89567708,89659408,89498468,89655436,89264940,89561280,89504724,89608928
1575093420000000000,89599456,89609972,89609056,89585288,89588784,89584576,89227844,89458312,89567708,89659408,89498468,89655524,89264940,89561280,89504708,89608928
1575093421000000000,89599456,89609972,89609108,89585260,89588784,89584748,89227844,89458312,89567660,89659408,89498468,89655524,89264940,89561404,89504748,89608928
1575093422000000000,89599456,89609972,89609108,89585260,89588784,89584876,89227812,89458312,89567660,89659408,89498468,89655524,89264940,89561404,89504748,89608928
