Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575151442000000000,89986480,89992464,90012268,89978960,89995172,89983272,89618280,89856524,89962600,90071220,89882044,90030796,89667004,89960028,89902900,89986176
1575151443000000000,89462488,89476396,89495676,89466960,89482576,89460692,89096348,89336104,89433852,89548936,89357136,89509092,89138172,89437488,89374440,89465204
1575151444000000000,86800948,86851920,86844452,86860920,86874616,86805356,86430488,86676944,86803116,86885184,86701816,86853964,86456220,86784448,86708948,86842144
1575151445000000000,84178428,84270468,84224072,84294956,84307492,84238224,83859020,84058684,84213744,84267452,84089512,84240560,83873280,84166028,84088600,84260684
1575151446000000000,81605388,81629492,81636460,81735400,81746512,81671216,81287668,81442424,81628416,81640732,81479492,81638640,81287724,81552076,81521468,81683320
1575151447000000000,79034264,79011236,79067404,79158280,79181568,79063124,78702252,78869956,78991544,79024860,78859112,79073680,78667344,78933876,78952328,79101852
1575151448000000000,76454968,76438124,76475572,76558800,76674124,76476556,76112868,76294632,76406460,76386464,76252944,76512888,76083860,76321688,76356648,76505744
1575151449000000000,74011336,74016772,74039884,74004008,74108708,74006004,73644288,73883644,73983184,74092312,73905568,74056928,73691304,73984492,73925144,74008636
1575151450000000000,74007284,74015948,74037244,74000072,74018916,74001920,73640508,73882232,73979648,74093688,73906368,74053312,73686700,73980728,73921004,74004464
1575151451000000000,74007364,74016768,74038288,74000908,74019192,74002964,73640116,73884116,73980260,74093860,73907556,74053004,73688748,73981472,73921036,74005852
1575151452000000000,74009064,74017048,74039880,74000908,74020628,74004444,73643156,73884444,73980320,74095484,73908768,74053004,73690572,73981584,73922196,74007772
1575151453000000000,74009080,74018436,74039508,74002860,74020628,74004748,73643124,73884928,73980912,74095484,73909140,74053424,73690240,73983096,73924072,74008132
1575151454000000000,73892184,73889920,73924596,73872504,74020896,74004980,73642156,73886900,73982788,74096360,73909988,74054428,73690808,73983856,73923172,74007760
1575151455000000000,74010604,74019888,74040624,74002288,74021420,74005860,73642172,73782788,73889064,74096072,73910048,73968608,73594464,73984172,73923400,74007304
1575151456000000000,73949072,73951320,73970940,73924828,74021472,74005656,73643436,73888108,73984280,74096244,73910700,74055872,73691744,73984720,73923524,74007560
1575151457000000000,74011152,74019552,74041476,74002784,74021572,74006416,73643420,73875828,73971072,74096368,73910684,74046264,73671108,73984776,73923636,74007964
1575151458000000000,73933012,73937640,73947984,73901936,74021552,74006536,73643184,73888132,73983744,74096624,73910780,74056744,73691976,73985100,73924156,74007964
1575151459000000000,74010680,74020316,74037388,74003240,74021824,74006568,73643184,73767152,73859244,74096096,73910284,73941560,73583452,73985492,73924156,74007972
1575151460000000000,73885396,73892840,74037080,74004108,74022848,74007140,73644780,73888508,73978208,74096584,73900012,74056808,73692756,73986276,73918276,74008600
1575151461000000000,74012572,74020916,74037860,74004964,74023328,74007380,73644748,73888568,73978144,74096152,73900540,74056968,73691896,73986656,73918408,74008920
1575151462000000000,74012456,74020832,74032480,74004560,74022956,74007564,73644512,73889272,73978832,74097108,73901096,74057672,73693192,73986836,73918628,74009400
1575151463000000000,74012704,74021312,74034752,74004964,74023452,74007920,73644512,73889024,73979204,74097156,73900872,74057928,73693572,73986836,73918668,74009400
1575151464000000000,74012796,74021304,74034456,74005100,74023456,74008416,73645108,73885452,73979540,74084664,73901216,74058436,73694096,73987364,73919188,74009564
1575151465000000000,74013496,74022064,74034644,74005784,74023456,74008416,73645156,73886028,73980160,74084460,73901744,74058368,73693864,73986712,73919812,74009992
1575151466000000000,74013404,74021728,74034536,74005660,74023456,74008416,73645364,73886276,73980232,74084656,73901756,74058484,73694260,73987020,73919968,74010024
1575151467000000000,74013372,74021928,74034876,74005784,74023092,73885164,73645504,73881296,73979744,74084664,73901780,74058484,73694160,73987176,73919952,74010024
1575151468000000000,74013004,74021832,74034876,74005296,74023628,74008476,73645472,73882272,73980060,74084564,73902036,74058520,73694456,73986656,73920120,74009576
1575151469000000000,74013520,74022080,74034916,74006248,74023584,74007988,73645456,73882328,73980204,74085056,73902100,74058552,73694332,73987144,73919824,74003660
1575151470000000000,74013520,74022300,74035056,74006372,74023800,74008540,73645424,73882192,73980232,74084936,73902128,74058552,73694372,73987036,73919824,74004540
1575151471000000000,74013528,74022144,74034940,74006164,74023684,74008448,73645464,73882232,73980116,74085576,73902252,74058552,73694372,73987192,73920188,74004680
1575151472000000000,74013676,74022268,74035296,74006452,74023936,74008572,73645512,73882536,73980284,74085336,73902136,74058312,73694156,73987316,73920452,74004680
1575151473000000000,74013328,74022152,74035228,74006360,74023580,74008696,73646036,73882652,73980400,74085708,73902284,74058652,73694428,73987308,73920580,74004728
1575151474000000000,74013808,74022380,74035372,74006584,74024116,74008588,73646036,73883040,73980120,74085608,73902480,74058164,73694320,73987552,73920456,74004780
1575151475000000000,74013404,74021900,74035000,74006212,74023744,74008524,73645516,73883140,73980160,74085740,73902480,74058644,73694544,73987520,73920248,74004624
1575151476000000000,74013444,74022396,74035372,74006976,74024296,74008648,73646020,73882780,73979976,74085368,73902480,74058272,73694168,73987520,73920372,74004992
1575151477000000000,74013580,74022100,74035124,74006652,74023784,74008648,73645920,73883152,73980488,74074268,73891124,74058644,73694508,73976040,73920264,73991588
1575151478000000000,74013780,74022656,74035576,74007008,74023892,74008416,73645996,73882812,73980440,74085748,73902496,74058644,73694252,73987644,73920404,74005024
1575151479000000000,74013812,74022416,74035576,74006760,74024140,74008680,73646120,73883232,73980564,74085716,73902248,74058644,73694576,73987520,73920404,74004900
1575151480000000000,74013984,74022820,74035672,74007072,74023948,74008572,73646276,73883264,73980564,74085912,73902492,74058732,73694700,73987780,73920544,74005164
1575151481000000000,74013524,74022820,74036024,74007212,74024312,74008820,73646400,73883264,73980564,74085912,73902128,74058732,73694700,73987696,73920608,74004852
1575151482000000000,73952448,73974988,73990844,73945648,74024032,74008332,73646556,73883292,73980316,74085912,73902704,74058732,73694776,73987936,73920368,74005464
1575151483000000000,74014104,74022960,74036024,74007244,74024312,74008820,73646556,73877412,73980324,74086004,73902492,74058484,73694544,73987920,73920368,74005340
1575151484000000000,74013772,74022712,74035684,74007004,74023948,74008776,73646200,73879276,73980564,74086004,73902736,74058912,73694968,73987896,73920640,74005636
1575151485000000000,74013756,74023068,74035924,74007284,73993544,73983656,73624068,73879284,73980728,74085752,73902968,74058796,73694836,73983672,73893952,74005480
