Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575097438000000000,90461260,90468640,90485624,90456004,90464220,90453756,90091452,90331072,90442472,90557904,90363988,90514308,90126564,90437200,90384780,90469272
1575097439000000000,90461588,90468640,90485624,90454460,90463784,90453540,90091684,90331112,90441912,90551216,90364088,90514488,90126564,90437184,90384904,90469676
1575097440000000000,88944932,88962912,89001760,88947212,88953328,88964160,88597016,88818888,88917868,89039992,88872780,89006256,88621620,88924512,88867580,88955392
1575097441000000000,86336848,86342468,86429260,86337088,86347456,86376332,86024244,86198392,86289336,86417308,86293500,86398156,86038104,86310444,86252384,86337236
1575097442000000000,83720688,83752732,83846872,83725200,83739364,83764300,83451024,83578100,83656536,83801148,83685416,83792112,83452040,83694288,83636100,83718920
1575097443000000000,81151392,81131840,81210108,81115052,81127100,81160428,80874644,81002784,81023740,81180720,81067084,81198960,80854500,81080176,81054656,81098688
1575097444000000000,78582352,78482788,78599976,78513352,78541536,78595476,78252196,78425544,78393140,78562512,78460520,78636160,78226084,78435096,78436252,78476096
1575097445000000000,75972756,75866512,76030796,75923808,75935552,76032064,75637960,75844076,75803588,75935408,75873352,76027972,75642688,75825080,75826200,75856048
1575097446000000000,73360680,73237824,73461880,73317764,73370500,73465444,73068952,73274904,73218024,73326176,73241048,73417956,73053028,73200480,73207908,73278716
1575097447000000000,70786216,70615900,70892824,70709672,70807732,70901372,70477088,70698460,70608096,70724804,70629276,70850824,70496260,70590372,70585504,70701476
1575097448000000000,68216752,67989376,68286780,68143036,68220732,68336412,67862852,68123268,67971876,68105144,67994468,68255692,67871660,67969992,67999816,68122272
1575097449000000000,65644316,65366824,65672420,65565892,65651492,65740512,65239260,65539628,65337448,65476696,65431432,65639284,65282204,65359728,65379888,65518168
1575097450000000000,63054944,62736236,63084808,62927200,63049676,63171456,62620804,62966476,62704904,62862544,62841896,63033240,62696640,62739412,62763612,62865180
