Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575101031000000000,90005640,90017228,90028544,89984792,90005292,90002708,89630460,89874912,89983784,90093732,89904752,90052644,89666244,89984920,89920716,90009132
1575101032000000000,90003252,90013828,90025720,89982680,90002224,90000048,89627024,89872072,89976012,90091128,89900952,90050184,89663364,89982516,89918008,90006408
1575101033000000000,88913516,88924784,88928308,88897404,88912116,88901800,88533792,88775340,88888424,88998900,88808932,88955300,88579348,88883180,88824844,88920568
1575101034000000000,88784748,88794416,88790648,88757424,88774932,88767400,88400588,88646408,88755380,88863424,88662992,88825056,88439616,88752316,88691440,88785408
1575101035000000000,88605112,88613908,88617324,88579296,88608000,88590076,88222388,88474692,88581604,88684484,88484680,88645012,88266344,88574100,88511636,88606868
1575101036000000000,88593260,88604352,88602928,88565912,88592572,88579580,88213732,88456108,88563104,88672880,88480584,88631448,88253560,88565288,88498852,88594340
1575101037000000000,88363568,88371656,88375604,88338208,88365716,88340940,87982760,88224468,88338820,88442048,88251112,88405372,88026068,88332620,88270176,88365044
1575101038000000000,88443996,88453956,88457748,88420872,88447644,88423240,88063812,88306396,88422244,88524472,88334312,88485740,88107476,88415044,88352432,88448064
1575101039000000000,88126656,88143040,88142904,88112052,88125264,88106252,87746264,87992020,88099772,88208580,88020604,88162208,87784040,88099284,88029432,88124508
1575101040000000000,88284644,88297648,88296816,88268648,88289800,88264520,87905392,88147576,88263256,88365684,88177832,88319076,87950360,88255584,88187404,88280428
1575101041000000000,87971488,87982588,87983392,87956000,87965992,87957360,87592280,87833568,87947672,88052364,87871720,88013864,87637096,87941252,87879484,87973692
1575101042000000000,88125820,88135772,88137556,88110600,88130960,88102480,87746976,87988056,88103876,88206220,88021088,88160904,87793620,88097348,88025944,88121412
1575101043000000000,88061480,88069932,88075840,88045732,88058604,88045508,87684464,87924568,88030444,88149176,87959128,88103024,87730656,88034144,87967728,88067488
1575101044000000000,87968412,87976684,87979092,87951524,87971440,87942040,87587756,87829028,87944708,88045992,87862160,88002624,87627820,87937952,87867600,87962752
1575101045000000000,87933680,87948256,87947232,87920032,87936804,87917028,87561080,87796808,87907624,88016208,87837520,87976336,87605248,87908472,87844172,87936440
1575101046000000000,87809740,87817416,87821884,87792784,87811716,87785712,87429604,87668124,87785836,87886836,87704004,87843704,87471512,87779156,87707268,87805524
1575101047000000000,87809304,87817416,87821720,87791888,87811716,87784780,87428608,87668124,87786312,87886628,87703956,87842468,87470764,87778256,87707300,87804560
1575101048000000000,87809800,87817416,87822092,87792264,87811716,87785136,87429000,87668124,87786928,87887020,87704804,87842704,87471456,87779276,87707300,87804760
1575101049000000000,87811024,87817416,87822676,87792092,87811716,87785672,87429248,87668124,87787420,87887020,87704920,87842704,87471944,87779752,87707176,87804760
1575101050000000000,87811024,87817472,87822676,87792092,87811716,87785672,87429248,87668124,87787420,87887020,87705044,87842704,87471944,87780236,87707176,87804760
1575101051000000000,87505736,87503100,87508624,87476480,87495856,87479424,87116308,87352668,87473656,87574520,87397976,87536396,87165468,87474140,87400924,87497476
