Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575092081000000000,90468644,90488108,90480208,90458420,90474360,90456736,90097436,90327268,90440384,90526816,90366964,90527748,90137028,90444764,90383032,90481320
1575092082000000000,90459760,90478688,90475252,90455936,90465312,90451832,90079932,90317868,90425768,90520532,90351968,90527716,90117664,90436560,90366328,90472560
1575092083000000000,89085980,89100584,89089396,89072060,89089004,89069052,88717840,88948176,89052248,89145812,88980888,89139932,88754584,89062424,88995508,89098576
1575092084000000000,88538264,88545144,88530248,88509612,88531904,88505632,88152712,88394752,88496100,88596488,88425600,88577084,88196504,88501376,88450504,88540916
1575092085000000000,88395156,88405152,88376772,88348168,88390052,88353820,88008732,88239372,88358092,88458420,88268424,88421532,88053288,88343992,88306488,88395864
1575092086000000000,88278128,88293768,88261432,88236292,88270608,88241072,87896060,88121788,88241760,88339932,88152488,88303700,87934712,88226124,88189676,88284460
1575092087000000000,88078728,88093300,88091176,88064788,88084836,88055264,87712680,87951260,88041304,88142916,87981188,88133188,87749748,88058496,88007248,88098828
1575092088000000000,88078728,88093300,88091688,88063940,88084836,88055264,87712068,87951384,88039996,88143564,87981188,88134296,87749748,88058480,88007148,88098284
1575092089000000000,88005744,88021120,88005952,87978280,87999684,87992648,87637696,87860412,87967520,88072728,87894332,88057784,87664108,87971360,87919336,88010792
1575092090000000000,87461532,87473524,87457316,87445704,87465000,87434352,87093572,87314568,87421220,87523548,87372616,87515320,87128976,87437372,87388816,87480272
1575092091000000000,87806512,87818660,87802880,87790392,87809032,87780224,87439316,87661068,87766852,87868916,87718876,87859684,87474484,87782896,87734556,87824372
1575092092000000000,87786140,87807660,87796240,87778292,87773564,87754648,87426780,87648672,87754176,87857064,87687424,87837156,87449492,87757144,87715936,87806296
1575092093000000000,87680468,87702404,87686848,87674620,87665384,87648216,87321032,87543616,87649120,87751048,87578528,87729744,87344856,87651884,87605616,87697704
