Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575124067000000000,90011876,90019232,90032404,89994344,90001264,90005484,89629816,89873140,89972740,90082440,89906300,90049812,89677380,89981184,89912572,90006640
1575124068000000000,89946828,89956640,89966184,89928136,89937820,89938348,89563000,89810484,89894496,90018400,89842204,89985168,89615624,89918384,89846448,89940452
1575124069000000000,87595436,87664616,87671876,87641316,87651496,87591204,87213732,87331024,87515584,87707688,87490344,87687852,87240596,87381820,87498712,87640108
1575124070000000000,85030516,85090176,85098204,85082320,85095208,84989160,84612120,84762132,84891340,85126384,84890484,85093824,84655064,84779728,84894640,85071712
1575124071000000000,82463660,82520912,82529560,82525964,82540280,82393272,82036764,82197272,82269156,82548988,82309608,82539080,82077636,82175484,82294904,82499840
1575124072000000000,79898740,79954068,79954428,79969452,79967228,79836604,79436912,79632260,79642660,79973828,79713036,79984556,79494344,79575748,79693004,79906000
1575124073000000000,77333820,77385364,77363060,77412724,77373512,77277548,76873976,77066036,77038228,77398420,77118016,77399460,76915088,76977760,77091176,77299996
1575124074000000000,74771072,74818128,74775424,74855744,74821004,74718708,74311104,74500308,74411744,74784284,74518156,74807832,74333720,74375860,74484952,74730696
1575124075000000000,72199376,72238488,72177212,72281940,72257376,72116168,71739548,71932408,71778588,72161264,71913564,72244328,71712804,71777616,71874340,72150920
1575124076000000000,69705468,69715820,69724680,69687088,69692044,69695984,69322208,69334680,69662776,69769304,69592124,69742808,69373372,69149292,69603712,69697304
1575124077000000000,69705148,69715944,69724680,69686772,69691088,69695984,69323188,68785452,69662776,69769304,69592124,69743600,69373372,68891316,69603712,69696948
1575124078000000000,69705148,69715944,69724680,69686844,69691320,69695984,69323316,68785452,69662776,69769304,69592124,69743664,69373372,68891412,69603712,69697640
1575124079000000000,69705148,69715344,69724680,69688308,69692304,69695992,69323316,68785452,69662776,69769304,69592124,69744020,69373372,68892000,69603960,69698900
1575124080000000000,69705148,69715344,69724680,69688432,69692812,69695992,69323348,68785452,69662900,69769444,69592124,69744020,69373372,68893184,69603960,69698932
1575124081000000000,69705148,69715848,69724680,69689048,69693096,69695992,69324200,68785452,69662900,69769444,69575740,69744020,69373372,68893308,69604084,69698932
1575124082000000000,69705272,69715848,69724680,69689336,69693780,69695992,69324200,68785452,69662900,69769948,69575400,69744532,69373372,68893308,69604240,69698932
1575124083000000000,69705272,69715848,69724680,69689336,69693912,69696496,69324324,68785452,69662900,69769016,69575956,69744532,69374384,68893488,69604740,69699540
1575124084000000000,69705060,69715848,69724680,69684156,69694052,69697204,69324340,68785452,69663912,69769172,69576780,69744532,69374384,68893612,69604740,69699632
1575124085000000000,69705768,69716352,69724680,69688124,69694052,69698116,69324968,68785452,69664572,69769924,69577172,69744532,69374384,68893612,69604864,69699632
1575124086000000000,69706240,69716352,69724680,69688584,69694052,69698436,69324968,68785452,69664580,69770952,69577172,69745552,69374384,68893728,69604948,69699632
1575124087000000000,69706364,69716352,69724680,69688584,69694052,69698436,69324968,68785956,69664836,69770952,69577172,69745504,69374384,68893960,69605088,69699860
1575124088000000000,69661732,69537992,69421284,69547460,69654956,69572144,69165800,68785956,69092672,69627532,69224552,69730052,68965340,68893960,69204736,69524288
1575124089000000000,67054248,66958820,66872336,66980576,67063372,66982360,66607088,66646296,66476264,67039920,66671492,67160128,66396408,66563280,66668696,66932456
1575124090000000000,66424148,66433540,66440800,66405440,66411372,66415500,66042168,65503452,66383236,66488016,66292144,66463820,66091196,65610652,66322240,66416796
1575124091000000000,66423900,66433540,66440724,66405376,66411248,66415500,66042136,65503452,66383112,66488016,66276300,66463820,66091196,65610652,66322240,66416840
1575124092000000000,66423900,66433540,66440724,66405440,66411248,66415500,66042168,65503452,66383116,66488016,66276300,66463572,66091196,65610652,66322240,66416840
1575124093000000000,66423900,66433540,66440724,66405952,66411248,66415500,66042164,65503452,66383492,66488016,66276300,66463572,66091452,65610652,66322240,66417028
1575124094000000000,66423900,66433540,66440688,66406124,66411248,66415500,66042164,65503452,66383616,66488228,66276300,66463744,66092788,65610652,66322272,66416980
1575124095000000000,66423900,66433540,66440744,66406120,66411248,66415576,66042156,65503452,66383724,66488352,66276300,66463788,66094148,65610652,66322268,66416984
1575124096000000000,66423900,66433540,66440984,66406024,66411248,66415684,66042272,65503452,66384156,66488488,66276300,66463812,66094180,65610652,66322284,66417032
1575124097000000000,66423900,66433540,66440984,66406024,66411248,66415700,66042532,65503452,66384144,66488488,66276212,66463748,66094180,65610652,66322268,66417180
1575124098000000000,66423900,66434180,66442020,66406012,66411248,66415700,66042624,65502380,66384300,66488456,66276212,66463744,66094336,65610872,66322468,66417180
1575124099000000000,66423900,66434404,66442016,66406052,66411248,66415700,66042632,65502448,66384300,66488456,66276212,66463744,66094336,65611308,66322468,66417212
1575124100000000000,66423900,66434776,66442016,66406052,66411248,66415700,66042632,65503068,66384300,66488488,66276212,66463744,66094336,65611308,66322468,66417196
1575124101000000000,66424332,66434776,66442016,66405988,66411248,66415700,66042628,65503144,66384300,66488488,66259828,66463744,66094460,65611292,66322468,66417236
1575124102000000000,66424332,66434900,65778644,66406192,66411248,66415700,66042660,65503144,66383928,66488488,66259828,66463908,66094460,65290072,66322468,66417236
1575124103000000000,65512180,66242764,63193304,63996048,66409232,66109188,66042676,63028116,65295900,66115572,64161316,66050840,66094460,62760152,66015100,66417328
1575124104000000000,62947012,63652680,60626120,61402576,65911452,63565056,65721704,60426316,62679656,63513664,61604340,63508756,64338048,60156072,63487072,65544444
1575124105000000000,60345296,61085524,58057040,58846156,63319536,61006032,63138228,57861412,60094068,60940428,59047796,60949916,61726024,57560060,60887088,62938564
1575124106000000000,57780312,58481320,55487900,56289180,60767212,58445020,60532036,55294380,57508668,58332500,56491192,58391140,59142484,54958152,58287260,60369548
1575124107000000000,55215640,55914104,52920992,53730216,58212284,55851304,57928328,52729460,54923268,55752932,53917768,55832268,56563352,52362820,55685408,57798064
1575124108000000000,52648360,53343224,50347564,51175608,55659464,53253616,55326200,50694816,52323284,53180068,51319888,53273300,53979628,49762836,53083568,55227124
1575124109000000000,50085612,51141864,49635728,49597496,53104660,51128096,52722368,49234220,49700648,50602424,49453172,50710612,51666188,48801844,50871172,52656120
1575124110000000000,49615600,49627452,49635728,49597496,50552212,49670228,50303040,48694448,49574852,49679700,49453172,49654856,50207576,48801844,49515324,50083064
1575124111000000000,49615600,49627452,49635728,49597372,49600508,49606740,49233544,48694448,49574852,49679700,49437488,49655060,49285636,48801844,49515324,49608056
1575124112000000000,49615600,49627452,49635728,49597536,49600508,49606740,49233512,48694448,49574736,49679700,49437488,49655060,49285636,48801844,49515324,49608056
1575124113000000000,49615600,49627452,49635728,49597536,49600508,49606740,49233508,48694448,49575108,49679700,49437488,49655184,49285636,48796444,49515448,49608056
1575124114000000000,49615244,49627452,49635728,49597584,49600508,49606740,49233384,48694316,49575132,49679700,49437992,49655232,49285636,48797012,49515448,49608192
1575124115000000000,49615244,49627452,49635808,49597584,49600508,49600968,49233508,48694804,49575196,49679700,49437992,49655232,49285636,48797012,49515480,49608288
1575124116000000000,49610860,49622628,49635808,49597652,49600508,49601424,49233604,48694804,49575196,49679700,49437992,49655436,49285636,48797012,49515480,49608288
1575124117000000000,49610908,49623200,49635808,49597652,49600508,49601424,49233660,48694804,49575320,49679700,49437992,49655388,49285636,48797012,49515480,49608288
1575124118000000000,49610908,49624836,49635932,49597900,49600508,49601424,49233688,48694804,49575320,49679436,49437992,49655388,49285636,48798696,49515480,49608288
1575124119000000000,49612156,49624836,49635932,49597956,49600508,49601424,49233688,48694804,49575632,49679988,49437992,49655388,49285636,48798724,49515604,49608524
1575124120000000000,49612328,49624836,48850888,48812540,49600508,49601928,49234236,48694804,49316376,49679988,48899460,49655452,49285636,48798724,49515604,49608524
1575124121000000000,48827640,49254208,48850832,48812780,49600508,49267748,49234236,48694804,48790848,48894944,48721848,48870656,49285636,48798616,48902176,49523956
1575124122000000000,48827152,48839800,48851080,48812780,48814968,48816884,48449688,48694804,48790848,48894660,48721848,48870328,48500592,48798616,48730572,48823728
1575124123000000000,48827540,48839808,48851080,48812688,48814968,48816884,48449068,48694804,48790476,48894784,48721848,48870452,48501096,48798616,48730448,48823228
1575124124000000000,48827540,48839808,48851080,48812688,48814968,48816884,48449068,48694804,48790772,48894876,48721848,48870440,48500160,48798616,48730572,48823584
1575124125000000000,48827540,48839808,48851080,48812844,48814968,48816884,48449096,48694804,48790648,48894876,48721848,48870412,48500832,48798616,48730688,48823648
1575124126000000000,48825460,48839988,48851080,48812992,48814968,48816884,48446464,48694804,48790772,48894752,48721848,48870540,48496044,48798616,48730688,48823864
1575124127000000000,48825460,48840512,48851128,48812976,48814968,48816884,48446164,48694804,48790524,48894728,48721848,48870448,48495920,48798616,48731204,48823776
1575124128000000000,48825460,48840652,48851036,48812976,48814968,48817364,48446224,48694804,48790452,48894728,48721848,48870404,48496044,48798616,48731172,48823776
1575124129000000000,48825380,48840652,48851036,48813044,48814968,48817804,48446264,48694804,48790484,48894588,48721848,48870428,48496044,48798616,48731048,48823776
1575124130000000000,48825380,48840652,48851176,48813040,48814968,48817804,48446388,48694804,48790624,48894992,48721848,48870428,48496044,48798616,48731048,48823776
1575124131000000000,48828060,48840652,48851176,48812760,48816304,48817804,48446388,48694804,48790624,48894988,48721932,48870552,48496168,48798616,48731304,48823820
1575124132000000000,48829076,48840652,48851176,48812760,48816800,48817804,48446264,48694804,48790468,48894988,48721932,48870584,48496168,48798616,48731304,48823976
1575124133000000000,48829324,48840652,48851304,48812904,48817600,48817812,48446344,48694804,48790468,48895020,48721932,48870836,48496168,48798624,48731304,48823944
1575124134000000000,48829324,48840652,48851304,48812952,48817736,48818060,48446344,48694804,48790468,48895020,48724668,48871040,48498208,48798656,48731304,48823928
1575124135000000000,48829328,48840652,48851304,48812952,48817892,48818092,48446344,48694804,48790468,48895020,48724608,48871008,48498192,48798656,48731452,48824048
1575124136000000000,48829328,48840652,48851304,48812952,48817916,48818276,48446468,48694804,48790628,48895020,48724608,48871544,48498192,48798672,48731576,48824212
1575124137000000000,48829328,48840652,48851304,48813164,48817916,48818276,48447012,48694804,48790752,48895144,48724608,48871516,48498192,48798672,48731576,48824212
1575124138000000000,48829328,48840652,48851304,48813408,48817916,48818276,48446940,48694804,48790876,48895144,48724608,48871516,48498288,48798672,48731576,48824212
1575124139000000000,48829328,48840652,48851304,48813360,48817916,48818276,48446972,48694804,48790876,48895144,48724608,48871516,48498288,48798672,48731576,48824256
1575124140000000000,48829328,48840652,48851304,48813484,48817916,48818276,48447092,48694804,48790876,48895144,48724608,48871516,48498288,48798672,48731624,48824256
1575124141000000000,48829452,48840652,48851304,48813744,48817916,48818276,48447340,48694804,48790992,48895144,48723452,48871564,48498288,48798672,48731624,48824380
1575124142000000000,48829756,48840652,48851304,48813620,48817916,48818276,48447308,48694804,48790992,48895268,48723452,48871848,48498288,48798672,48731624,48824348
1575124143000000000,48829880,48840652,48851304,48813620,48817916,48818276,48447340,48694804,48790992,48895268,48723452,48871848,48498288,48798672,48731748,48824380
1575124144000000000,48829880,48840652,48851304,48813636,48817916,48818276,48447340,48694804,48790992,48895268,48723452,48871848,48498172,48798672,48731760,48824332
1575124145000000000,48829928,48840652,48851304,48813680,48817916,48818276,48447388,48694804,48790992,48895268,48724128,48871856,48498172,48798672,48731760,48824456
1575124146000000000,48829928,48840652,48851304,48813852,48817916,48818348,48447396,48694804,48790992,48895268,48724284,48871856,48498172,48799184,48731760,48824456
1575124147000000000,48830248,48840652,48851304,48813852,48817916,48818348,48447396,48694804,48790992,48895268,48724684,48871808,48498536,48799200,48731760,48824456
1575124148000000000,48830248,48841116,48851304,48813852,48817916,48818348,48447396,48694804,48790992,48895268,48724684,48871808,48498536,48799200,48731760,48824456
1575124149000000000,48830352,48841400,48851304,48813820,48817916,48818348,48447552,48694804,48791008,48895268,48724684,48871808,48498536,48799200,48731776,48824456
1575124150000000000,48830352,48841524,48851304,48813860,48817916,48818348,48447584,48694804,48791008,48895268,48724700,48871964,48498536,48799200,48731792,48824472
1575124151000000000,48830352,48841492,48851304,48813828,48817916,48818348,48447676,48694804,48791024,48895268,48723628,48871964,48498536,48799200,48731956,48824472
1575124152000000000,48830352,48841492,48851304,48813828,48817916,48818348,48447676,48694804,48791368,48895268,48724884,48871964,48498536,48799200,48732080,48824472
1575124153000000000,48830352,48841524,48851304,48813924,48817916,48818348,48447676,48694804,48791368,48895268,48724932,48871964,48498536,48799256,48732080,48824536
1575124154000000000,48830352,48841524,48851304,48813932,48817916,48818348,48447772,48694804,48791368,48895244,48724932,48872012,48498536,48799372,48732080,48824472
1575124155000000000,48830352,48841524,48851304,48813932,48817916,48818348,48447960,48694804,48791368,48895508,48725184,48871996,48498536,48799372,48732188,48824456
1575124156000000000,48830352,48841524,48851320,48813948,48817916,48818348,48448040,48694804,48791368,48895508,48725184,48872020,48498536,48799372,48732576,48824440
1575124157000000000,48830352,48841524,48851320,48813948,48817916,48818348,48448040,48694804,48791368,48895508,48725232,48871940,48498536,48799372,48732544,48824440
1575124158000000000,48830352,48841636,48845296,48813916,48817916,48818348,48448556,48694804,48791368,48895508,48725232,48872188,48498660,48799372,48732652,48824440
1575124159000000000,48830352,48841636,48845296,48814032,48817916,48818348,48448556,48694804,48791368,48895508,48725232,48872180,48498660,48799372,48732652,48824548
1575124160000000000,48830352,48841636,48845296,48814032,48817916,48818348,48448556,48694804,48787172,48895508,48716752,48872232,48498660,48799556,48730376,48824736
1575124161000000000,48830296,48841668,48845296,48814032,48817916,48818348,48448556,48694804,48787416,48895508,48716752,48872232,48498660,48799556,48731064,48824736
1575124162000000000,48830264,48841668,48844944,48813924,48817916,48818348,48448556,48694804,48787400,48895508,48716752,48872108,48498660,48799556,48730976,48824736
1575124163000000000,48830264,48841668,48845108,48814016,48818148,48818348,48448744,48694804,48787400,48895508,48716752,48872108,48498660,48799556,48730976,48824736
1575124164000000000,48830264,48841668,48845200,48814028,48818376,48818348,48448744,48688460,48787400,48888448,48720664,48872108,48498660,48799556,48730984,48824736
1575124165000000000,48830400,48841668,48845200,48814152,48818252,48818348,48448760,48688844,48787740,48888448,48720912,48872148,48498660,48799556,48730984,48824736
1575124166000000000,48830524,48841668,48845456,48814152,48818252,48818348,48448636,48688960,48787724,48888448,48720976,48872212,48499380,48799556,48731160,48824736
