Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575121988000000000,90465080,90467628,90483856,90447952,90446024,90456472,90087164,90322792,90433252,90534472,90357880,90502936,90132496,90430136,90363208,90451488
1575121989000000000,90463332,90464092,90482640,90444988,90443288,90454120,90083580,90320084,90425156,90531892,90354976,90500440,90129284,90427320,90360064,90448944
1575121990000000000,88844232,88881656,88884996,88866252,88864840,88875680,88503136,88641036,88808216,88907432,88739240,88889080,88541484,88815372,88745096,88827140
1575121991000000000,86318440,86394604,86409656,86391584,86391872,86357620,86026684,86024724,86312868,86373160,86220484,86375348,86045040,86293388,86217428,86295204
1575121992000000000,85334696,85339220,85352940,85316300,85317420,85329620,84960756,85194044,85297848,85406164,85227776,85374268,85003436,85302096,85232992,85323368
1575121993000000000,85334696,85339220,85353124,85315188,85317540,85329620,84961172,85194044,85297848,85406164,85227912,85374160,85003436,85302096,85233620,85323436
1575121994000000000,84677280,84710388,84760192,84714936,84814384,84671248,84464256,84373240,84717692,84750180,84616848,84732392,84436956,84590852,84618268,84683356
1575121995000000000,84513876,84518840,84532308,84495748,84497256,84508464,84141808,84373240,84477476,84585356,84407556,84555264,84182696,84481440,84415464,84504212
1575121996000000000,84512452,84519852,84532432,84496012,84497256,84508464,84141808,84373240,84477984,84585356,84407556,84555320,84182696,84481440,84415796,84504256
1575121997000000000,84512988,84520300,84532404,84496136,84497256,84508980,84142852,84373748,84477984,84585364,84407556,84555800,84182696,84481440,84416612,84504380
1575121998000000000,82643484,83944480,83808144,83948776,82834828,83906752,82451372,82317188,83921024,84019904,83850084,83943556,83651524,83842380,83840120,83960372
1575121999000000000,80314740,81423380,81288392,81432992,80327552,81397240,79941292,80171640,81384768,81492024,81334244,81432716,81126008,81325132,81326452,81434892
1575122000000000000,80314768,80320264,80332656,80297148,80295344,80306904,79940920,80171640,80276516,80383256,80205688,80354752,79983792,80279972,80216692,80303040
1575122001000000000,79989988,80247352,80162928,80291828,79969904,80220856,79614576,79846016,80220096,80264464,80143192,80291884,79945972,80150888,80105284,80219216
1575122002000000000,79989276,79993524,80006924,79966948,79969904,79981288,79614452,79845396,79949900,80057012,79879816,80028468,79657052,79953760,79890392,79976740
1575122003000000000,79989328,79993524,80006928,79968752,79969100,79981288,79615136,79845652,79949900,80057012,79879816,80028996,79658140,79954268,79890656,79977192
1575122004000000000,79989328,79993524,80006928,79968996,79968964,79981288,79615136,79845652,79949900,80057012,79879856,80029408,79658140,79954268,79890608,79977392
1575122005000000000,79989416,79993524,80006928,79968996,79969760,79981288,79615492,79846156,79949372,80057012,79880704,80029528,79658140,79954268,79891112,79977464
1575122006000000000,79989416,79994164,80007432,79969548,79970740,79981288,79615492,79846156,79949372,80057012,79881896,80029616,79658264,79954268,79891372,79977612
1575122007000000000,79989416,79996028,80007432,79969556,79970864,79981288,79615492,79846156,79949372,80057012,79881708,80030128,79658264,79954268,79891372,79977736
1575122008000000000,79989416,79996028,80007432,79969556,79971116,79981288,79615444,79846880,79949372,80057520,79881832,80030244,79658264,79954268,79891508,79977860
1575122009000000000,79989424,79995656,80007600,79970020,79971372,79981792,79615708,79848072,79949372,80057520,79881956,80030244,79658264,79954268,79891836,79977860
1575122010000000000,79989424,79995656,80007600,79970420,79971372,79981792,79615708,79848132,79949372,80057520,79881956,80030492,79658264,79954416,79891852,79977736
1575122011000000000,79989424,79995656,80007600,79970420,79971372,79981792,79615708,79848168,79949372,80057520,79881956,80030500,79658264,79954416,79892008,79978124
1575122012000000000,79989424,79995656,80007600,79970388,79971372,79981792,79615708,79848168,79949876,80057096,79881956,80030376,79658264,79954544,79892008,79978000
1575122013000000000,79989424,79995656,80007600,79970396,79971372,79981792,79615752,79848168,79949876,80057716,79881956,80030376,79658264,79950544,79892008,79978000
1575122014000000000,79989424,79995656,80007600,79970804,79971372,79981792,79615816,79848168,79949876,80058676,79881956,80030376,79658264,79950544,79892164,79978076
1575122015000000000,79989424,79995656,80007600,79970804,79971372,79977240,79615816,79848168,79949876,80058924,79881956,80030512,79658264,79950544,79892208,79978076
1575122016000000000,79985004,79991888,80007600,79970804,79971372,79977728,79615816,79848168,79950404,80059044,79881956,80030576,79658264,79950544,79892232,79978216
1575122017000000000,79985004,79992012,80007600,79970804,79971372,79979544,79615864,79848168,79950404,80059044,79881956,80030528,79658264,79950544,79892356,79978216
1575122018000000000,79985004,79992012,80007600,79970928,79971372,79979544,79616444,79848168,79950404,80059128,79881956,80030528,79657996,79950544,79892356,79978340
1575122019000000000,79985004,79992012,80007600,79971016,79971372,79979792,79616444,79848168,79951368,80059128,79881956,80030912,79659492,79952476,79892528,79978388
1575122020000000000,79985004,79992012,80007600,79970876,79971876,79980284,79616672,79848168,79951368,80059128,79881956,80030780,79659476,79953068,79892512,79978644
1575122021000000000,79985004,79992012,80008400,79971000,79971876,79980308,79616672,79848168,79951368,80059200,79881956,80030904,79659476,79953068,79892560,79978768
1575122022000000000,79985004,79992012,80008896,79971000,79971876,79980308,79616672,79848168,79951384,80059364,79881956,80030940,79659476,79953068,79892560,79978892
1575122023000000000,79985004,79992524,80009144,79971032,79971876,79980308,79616828,79848168,79952696,80059364,79881956,80031184,79659788,79953068,79892544,79978892
1575122024000000000,79985516,79992524,80009144,79971156,79971876,79980308,79616828,79848168,79952696,80059364,79881956,80031232,79659788,79953076,79892404,79978892
1575122025000000000,79985516,79992524,80009144,79971544,79971876,79980308,79617000,79848168,79952696,80059364,79881956,80031232,79659788,79953028,79892404,79979180
1575122026000000000,79985944,79992524,80009144,79971716,79971876,79980820,79614784,79848168,79952696,80059364,79881956,80031376,79655932,79953260,79892420,79979196
1575122027000000000,79987948,79992524,80009144,79971724,79971876,79980820,79614768,79848168,79952708,80059364,79881956,80031456,79655916,79953696,79892544,79979164
