Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575135563000000000,89997588,90015808,90005468,89988700,89999576,89982080,89632244,89866200,89978692,90078692,89890100,90046404,89657904,89962876,89908480,89998156
1575135564000000000,89997876,90016356,90005044,89988832,89999576,89982080,89632244,89865036,89979400,90068624,89890164,90046280,89658036,89963216,89908528,89998460
1575135565000000000,88048224,88056120,88040600,88017288,88418456,88665292,88250608,88596604,88453772,88407848,88384288,88584800,88002128,88326364,88415492,88724836
1575135566000000000,86659016,86669048,86672236,86639056,86655300,86581008,86252976,86475708,86630872,86713360,86548568,86703332,86321020,86625944,86560460,86585192
1575135567000000000,85899196,85901600,85906896,86063376,85933316,85690188,85331376,85566660,85685724,85970632,85602608,85998220,85583028,85657660,85618064,85700512
1575135568000000000,84269768,84272484,84281812,84280888,84311644,83902100,83699876,83772680,84041616,84342632,83978144,84368312,83947524,83866532,83828276,84068792
1575135569000000000,82636280,82638220,82652172,82651772,82683768,82112120,82062820,82135872,82397304,82706856,82349556,82739072,82308732,82074908,82037260,82429376
1575135570000000000,80279712,80288136,80274816,80258052,80271908,80200764,79866744,80099236,80239696,80348512,80171816,80322300,79936224,80246608,80167156,80203760
1575135571000000000,80324272,80332448,80330708,80305364,80316344,80243152,79917948,80138956,80292324,80373964,80208504,80363948,79977912,80283924,80220656,80240936
1575135572000000000,79907352,79916524,79921156,79890656,79897164,79826300,79504444,79724336,79874320,79963880,79794440,79953132,79569368,79869676,79808024,79831816
1575135573000000000,79537728,79550272,79556432,79523028,79527588,79458644,79141100,79360192,79504900,79598032,79425672,79586044,79203372,79502552,79438008,79463208
1575135574000000000,79537728,79551640,79556624,79522904,79528092,79458644,79141540,79360192,79505112,79598536,79426192,79586044,79203372,79502552,79438072,79463572
1575135575000000000,79537728,79552288,79556624,79523640,79528092,79458644,79142224,79360696,79505112,79598536,79426192,79586012,79203884,79503064,79439176,79463704
1575135576000000000,79537728,79553024,79556624,79524052,79528092,79458644,79142472,79360744,79506264,79598536,79426192,79586572,79203992,79503064,79439552,79463976
1575135577000000000,79537728,79553024,79556624,79524100,79528092,79459148,79142472,79360868,79506264,79598536,79426192,79587152,79203992,79506328,79439784,79464008
1575135578000000000,79537852,79553024,79557136,79524100,79528092,79459148,79142600,79360868,79506264,79599040,79426760,79587208,79203992,79507868,79439784,79464780
1575135579000000000,79537948,79553024,79557136,79524156,79533372,79459196,79142680,79361372,79506264,79599040,79426760,79587208,79205000,79509140,79440260,79465260
1575135580000000000,79537948,79553024,79557136,79524576,79533456,79459196,79142680,79361372,79506776,79599552,79426760,79587396,79205208,79509300,79440260,79465416
1575135581000000000,79538956,79553528,79557260,79524576,79533584,79459708,79142804,79361372,79508404,79599552,79426760,79587396,79205208,79509332,79440260,79465416
1575135582000000000,79538956,79553528,79557764,79524832,79533832,79459708,79142804,79361372,79509504,79600056,79427264,79587512,79205208,79509332,79440388,79465416
1575135583000000000,79538956,79553528,79557764,79524848,79533832,79459708,79142836,79359904,79510292,79600056,79427264,79587512,79205808,79509456,79440504,79465600
1575135584000000000,79539212,79553792,79557788,79525344,79533956,79459756,79143052,79359904,79510572,79600080,79427272,79587636,79207368,79509456,79440504,79465628
1575135585000000000,79539212,79554036,79557788,79525336,79534000,79459756,79143060,79359904,79510592,79600080,79429276,79587652,79208268,79509456,79440636,79465736
