Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575085904000000000,90466972,90479860,90489324,90454740,90447652,90449572,90092700,90325176,90442380,90534896,90375936,90516628,90140052,90442972,90374204,90470220
1575085905000000000,90466408,90477192,90486428,90451832,90445176,90446172,90089008,90320764,90435436,90532376,90372996,90513456,90136872,90439852,90370984,90468152
1575085906000000000,87128036,87137088,87145680,87112336,87105600,87245612,86912684,87180932,87128832,87199040,87050548,87250392,86818712,87106184,87121484,87248508
1575085907000000000,87124192,87133368,87144440,87111100,87104620,87064908,86686028,86960736,87091484,87195132,87031940,87169852,86796008,87096816,87031924,87107980
1575085908000000000,85917040,86086120,85940164,85908848,86153464,86169560,85768232,85826092,86130948,86191612,85852948,86217628,85620204,85889788,86081460,85967196
1575085909000000000,84123128,84370920,84157044,84280852,84528504,84540148,84136512,84035956,84489428,84557844,84227864,84588420,83983024,84102964,84451368,84176440
1575085910000000000,82329768,82580164,82513160,82653784,82902336,82909792,82503028,82243868,82776080,82922620,82568604,82961528,82196084,82310968,82733536,82541464
1575085911000000000,80786612,80790272,80806588,80775820,80762016,80720820,80345632,80618628,80746836,80852452,80693884,80835848,80459204,80758464,80690844,80771080
1575085912000000000,80786612,80790272,80806340,80770812,80762016,80720820,80344764,80618628,80746836,80852452,80693884,80832252,80459204,80758464,80690224,80768848
1575085913000000000,80358608,80370712,80380148,80346996,80341960,80297692,79922756,80194636,80325688,80431352,80267440,80410916,80035864,80333908,80270012,80348664
1575085914000000000,79997628,80013784,80018736,79988112,79983780,79941992,79565872,79834344,79967508,80075588,79911492,80051824,79680496,79978712,79916124,79992036
1575085915000000000,79997628,80015928,80018736,79988196,79983780,79941992,79566168,79834344,79967508,80075588,79911492,80051824,79681008,79978712,79916132,79992148
1575085916000000000,79997628,80016440,80018744,79988664,79984292,79941992,79567116,79834344,79968012,80075588,79911492,80051824,79681008,79978712,79916500,79992304
1575085917000000000,79997628,80017036,80019512,79988680,79984292,79941992,79567640,79834344,79968012,80075588,79911492,80052052,79681008,79978712,79916996,79992428
