Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575146577000000000,90014644,90023632,90035128,89992936,90000036,90004184,89641456,89883524,89978452,90074200,89910696,90050012,89680196,89982968,89914556,89998672
1575146578000000000,89910816,89919940,89929772,89886508,89895756,89900760,89535576,89775876,89867564,89977260,89804316,89944244,89570336,89874804,89805916,89896672
1575146579000000000,89740236,89739484,89751216,89702140,89731104,89709056,89317752,89602828,89698696,89797520,89578820,89759416,89397588,89705472,89622744,89707436
1575146580000000000,89738624,89739484,89751216,89702460,89731104,89709056,89316884,89602828,89698696,89797520,89578820,89759440,89397588,89705472,89622728,89707536
1575146581000000000,89738252,89739484,89751216,89703136,89731104,89709056,89317472,89602828,89698696,89797520,89578820,89760204,89397588,89705472,89622836,89707928
1575146582000000000,89738252,89739484,89751216,89703152,89731104,89709056,89317828,89602828,89698696,89797520,89572340,89760452,89397588,89705408,89623116,89707928
1575146583000000000,89738252,89739484,89751216,89703152,89731104,89709056,89318372,89602828,89698696,89797520,89572340,89760564,89398092,89705408,89623116,89707928
1575146584000000000,89738252,89739484,89751216,89703152,89731104,89709056,89318372,89602300,89698696,89797520,89572464,89761132,89398092,89705408,89623116,89707896
1575146585000000000,89738252,89739988,89751216,89703664,89731104,89700960,89318372,89602300,89698696,89797520,89572588,89761132,89390332,89689636,89623116,89708404
1575146586000000000,89738252,89739988,89751216,89704044,89731104,89700960,89318372,89602300,89699200,89797520,89572588,89761132,89391068,89689648,89623688,89708404
1575146587000000000,89725924,89739988,89743044,89704172,89731104,89701264,89319324,89602300,89699200,89797520,89572588,89761084,89392520,89690516,89623748,89708404
1575146588000000000,89725676,89739988,89743320,89704172,89731104,89701408,89319276,89602300,89699200,89796992,89573216,89761532,89392520,89690516,89623748,89708524
1575146589000000000,89726048,89740492,89743180,89704628,89731104,89701408,89319276,89602300,89699200,89785640,89572176,89761532,89392620,89690516,89623748,89709080
