Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575132396000000000,90468424,90484416,90493548,90456700,90451316,90451516,90098152,90325780,90438104,90534088,90369636,90511052,90136064,90432708,90371876,90459660
1575132397000000000,90368376,90385092,90394264,90356036,90355556,90353620,89998268,90228240,90336492,90467836,90271720,90410152,90035364,90331220,90270304,90362068
1575132398000000000,90185564,90203092,90212364,90180204,90172672,90172480,89810668,90046352,90129264,90245424,90089116,90224176,89863332,90137680,90074008,90152700
1575132399000000000,90185564,90203092,90212364,90169704,90172672,90163856,89804832,90046204,90126680,90245284,90089116,90224592,89859736,90137680,90072428,90152924
1575132400000000000,90185564,90203092,90212364,90169848,90174412,90164752,89808804,90046204,90126244,90244904,90089116,90225504,89859736,90137680,90073108,90153588
1575132401000000000,90185572,90203092,90212364,90170940,90174600,90166244,89809812,90046188,90126204,90244912,90089116,90225636,89859736,90137680,90073992,90153704
1575132402000000000,90185572,90203092,90201648,90171240,90174600,90166244,89810640,90046212,90125996,90245128,90089116,90226348,89859876,90137688,90074616,90153704
1575132403000000000,90186084,90203092,90201892,90171240,90174600,90166244,89810912,90046724,90125996,90245216,90089116,90226504,89859876,90137688,90074624,90153704
1575132404000000000,90177888,90202992,90202924,90171240,90167860,90166440,89811160,90046732,90125928,90246224,90089132,90226628,89859876,90137820,90074964,90153704
1575132405000000000,90178304,90203496,90203604,90171528,90168268,90167452,89811064,90046856,90126052,90246224,90089132,90226636,89860000,90138836,90075016,90154584
1575132406000000000,90179884,90197492,90203752,90171840,90168812,90167452,89811536,90046856,90127200,90246224,90081020,90227244,89860504,90138844,90075552,90154980
1575132407000000000,90180328,90197640,90203752,90171808,90169676,90167888,89811536,90047360,90127164,90241504,90082248,90227508,89860628,90138844,90075684,90154964
1575132408000000000,90180452,90198604,90199960,90171840,90170668,90168012,89809952,90047360,90127164,90241448,90082596,90227508,89860628,90138844,90076120,90154932
1575132409000000000,90180804,90199176,90200340,90172808,90170668,90168768,89809952,90047360,90123996,90242320,90082596,90227508,89860628,90139980,90076104,90155076
1575132410000000000,90180804,90199572,90200348,90172808,90170668,90168768,89810112,90047360,90124060,90243560,90082596,90228020,89860628,90139980,90076104,90155200
1575132411000000000,90180860,90199704,90200348,90173368,90170668,90168892,89810112,90047360,90123888,90243560,90082596,90228020,89860628,90135352,90076308,90155664
1575132412000000000,90180860,90199744,90200348,90173368,90170668,90168892,89810120,90047360,90123940,90243592,90083104,90228456,89860628,90135612,90076380,90155664
1575132413000000000,90180736,90199900,90200444,90173368,90170668,90168892,89810128,90038840,90123940,90243592,90083136,90228528,89848956,90136992,90076380,90155664
1575132414000000000,90180736,90200080,90200444,90173368,90170668,90169020,89810468,90039864,90124064,90243820,90083136,90228512,89849160,90137772,90076504,90155864
1575132415000000000,90181240,90200088,90202428,90173368,90170668,90169052,89810468,90040896,90124064,90243944,90083136,90228512,89849808,90137772,90076504,90155872
1575132416000000000,90181272,90200008,90203208,90173400,90170668,90169564,89810976,90041020,90124188,90243912,90083136,90228512,89849932,90137896,90076712,90155872
1575132417000000000,90181272,90200240,90203208,90173904,90170668,90169564,89811184,90041020,90124188,90244220,90083168,90228648,89850020,90137896,90076712,90155920
1575132418000000000,90181272,90200240,90203588,90173904,90170668,90169564,89811184,90041020,90124312,90244344,90083168,90228648,89850020,90137992,90076712,90155948
1575132419000000000,90181272,90200528,90203664,90173968,90170668,90169564,89811216,90041020,90124312,90244492,90083168,90228648,89850020,90138256,90076884,90156004
1575132420000000000,90181272,90200528,90203664,90173968,90170668,90169564,89811216,90041020,90124312,90244692,90083044,90228648,89850020,90138256,90076924,90156004
1575132421000000000,90181272,90200844,90203664,90173968,90171120,90169564,89811216,90041652,90124312,90244692,90083044,90228836,89850020,90138256,90076924,90156368
1575132422000000000,90181900,90200844,90203664,90173968,90171120,90169564,89811760,90041652,90124436,90244848,90083044,90229196,89850020,90138380,90076924,90156368
1575132423000000000,90182148,90200876,90203664,90173968,90171120,90169564,89811760,90041652,90124436,90244880,90083076,90229188,89850020,90138380,90076924,90156544
1575132424000000000,90182148,90201116,90203664,90174024,90171220,90169564,89811760,90041652,90124436,90244880,90083076,90229188,89850020,90138380,90076924,90156472
1575132425000000000,90182148,90201240,90203664,90174496,90171724,90169564,89811760,90041652,90124928,90244880,90083076,90229188,89850020,90138748,90077028,90156472
1575132426000000000,90178792,90196460,90203696,90174504,90171836,90169564,89811808,90041652,90120236,90244880,90083076,90223700,89850020,90138872,90077028,90156440
1575132427000000000,90180420,90198184,90203704,90174504,90171944,90169564,89811824,90041652,90124028,90244880,90083304,90226024,89850020,90139124,90077012,90156440
1575132428000000000,90180436,90198308,90203680,90174560,90171944,90169564,89811824,90041996,90124028,90244956,90083304,90226048,89850020,90139132,90077028,90156480
1575132429000000000,90180840,90198316,90203688,90174504,90172052,90169564,89811824,90041996,90124028,90245212,90083568,90225932,89850020,90139288,90077272,90156652
1575132430000000000,90180840,90198372,90203688,90174504,90172052,90169564,89811872,90041996,90124028,90245164,90083568,90226064,89850020,90139356,90077272,90156652
1575132431000000000,90180840,90198884,90203688,90174504,90172052,90169564,89811872,90041996,90124616,90245164,90083568,90226188,89850144,90139448,90077320,90156652
1575132432000000000,90180840,90198932,90203688,90174624,90172580,90169564,89811872,90041996,90124740,90245164,90083568,90226196,89850144,90139448,90077320,90156652
1575132433000000000,90180848,90199088,90204000,90174624,90172580,90169564,89811840,90041996,90124740,90245164,90083600,90226196,89850144,90139448,90077872,90156652
1575132434000000000,90180848,90199088,90204000,90174624,90173036,90169564,89811984,90042240,90125372,90245164,90084080,90226276,89850144,90139456,90077872,90156604
