Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575142945000000000,90009836,90018172,90034300,90006948,89999956,90000784,89638312,89875512,89979552,90067348,89907616,90042680,89680316,89976716,89906812,89999640
1575142946000000000,90009968,90018172,90034300,90006948,89999956,90000784,89638312,89875512,89978888,90067348,89907616,90044464,89680108,89976840,89906812,89999664
1575142947000000000,89913176,89920188,89933168,89910788,89901808,89905172,89540072,89776056,89873384,89971168,89808404,89945552,89581008,89879196,89808432,89900220
1575142948000000000,89657936,89610492,89678536,89656520,89647940,89650540,89286140,89521672,89619840,89673468,89499284,89691664,89327024,89569100,89554228,89591364
1575142949000000000,89130864,89138388,89150132,89127160,89119800,89122260,88758164,88994260,89092272,89189928,89026608,89163756,88798680,89097352,89026080,89118912
1575142950000000000,89130864,89138396,89150132,89127160,89119800,89122260,88758164,88994260,89092364,89189928,89026608,89163880,88798680,89097164,89026080,89118912
1575142951000000000,89130984,89138396,89150132,89127284,89119852,89122260,88758188,88994260,89092376,89189928,89026608,89163880,88798500,89097288,89026080,89119180
1575142952000000000,89130860,89138528,89150256,89127284,89119852,89122260,88758188,88994260,89092456,89189928,89026544,89163904,88798440,89097460,89026172,89119380
1575142953000000000,89130984,89138528,89150256,89127284,89119852,89122260,88758196,88994260,89092464,89189928,89026544,89164420,88798520,89097872,89026172,89119524
1575142954000000000,89130984,89138528,89150256,89127284,89119852,89122260,88758196,88994260,89092648,89189928,89026544,89164564,88798520,89097840,89026336,89119524
1575142955000000000,89130984,89138528,89150256,89119140,89119852,89122640,88758196,88994260,89092704,89189928,89026544,89165048,88798520,89097808,89026272,89119636
1575142956000000000,89130860,89138528,89150256,89119140,89120356,89122680,88758408,88994260,89092704,89189928,89026544,89165048,88799024,89097808,89026440,89119636
1575142957000000000,89130860,89138528,89150256,89119140,89120356,89122772,88758408,88994260,89092704,89189688,89026544,89165088,88798476,89097808,89026440,89119636
1575142958000000000,89130860,89138528,89150256,89119140,89120356,89122960,88758408,88994260,89092704,89189688,89026544,89165088,88798496,89097808,89026440,89119636
1575142959000000000,89130860,89138528,89150256,89119140,89120356,89122960,88758548,88994260,89093208,89189900,89026544,89165372,88798496,89097808,89026440,89119636
1575142960000000000,89130860,89138528,89150256,89119140,89120356,89123028,88758612,88994260,89093208,89190100,89027048,89165372,88798496,89097808,89026688,89119968
1575142961000000000,89130892,89138528,89150256,89122732,89120356,89123028,88758612,88994260,89093208,89190100,89027048,89165372,88798496,89097808,89026716,89119968
1575142962000000000,89130892,89138528,89150256,89122888,89120356,89123028,88758612,88994260,89093332,89190100,89027048,89165372,88798504,89097808,89026740,89120140
1575142963000000000,89130892,89138528,89150256,89123012,89120356,89123028,88758612,88994260,89093836,89190100,89027048,89165676,88799012,89097808,89026740,89120372
1575142964000000000,89131016,89138528,89150256,89123168,89120356,89123028,88758736,88994260,89094800,89190100,89027048,89165676,88799012,89097808,89026612,89120388
1575142965000000000,89131016,89138528,89150256,89123052,89120356,89123028,88758736,88994260,89094920,89190100,89027048,89165676,88799012,89097808,89026628,89120388
1575142966000000000,89131016,89138412,89150256,89123052,89120356,89123028,88758816,88994260,89094920,89190100,89027048,89165852,88799028,89097808,89026628,89120388
1575142967000000000,89131016,89138412,89150256,89123044,89120356,89123028,88758800,88994260,89094880,89190100,89027048,89165852,88795752,89097808,89026752,89120384
1575142968000000000,89131016,89138412,89150256,89123044,89120356,89123028,88758812,88993140,89095076,89190224,89027048,89165804,88795984,89097808,89026760,89120360
1575142969000000000,89131016,89138536,89150256,89123092,89120356,89123028,88758812,88993140,89095076,89190224,89027048,89165964,88796264,89097808,89026840,89120392
1575142970000000000,89131016,89138536,89149972,89123100,89120356,89123028,88759032,88993144,89095076,89190224,89027048,89165980,88796436,89097808,89026840,89120392
1575142971000000000,89131016,89139040,89149972,89123116,89120400,89123028,88759032,88993144,89095076,89190300,89027048,89166104,88796560,89097808,89027028,89120928
1575142972000000000,89131016,89139040,89150200,89123116,89120400,89123028,88759032,88993144,89095076,89190300,89027048,89166104,88796560,89097808,89027028,89120928
1575142973000000000,89131016,89139040,89150432,89123116,89120580,89123616,88759064,88993144,89095076,89190388,89027048,89166104,88796560,89097808,89027060,89121052
1575142974000000000,89131016,89139040,89150432,89123272,89120704,89123616,88759064,88993144,89095076,89190388,89027048,89166104,88796560,89098384,89027012,89121004
1575142975000000000,89131016,89139040,89150432,89123272,89120812,89123740,88759136,88993144,89095076,89190388,89027048,89166104,88796560,89098384,89027008,89121004
1575142976000000000,89131016,89139040,89150432,89123272,89121060,89123740,88759136,88993144,89095076,89190388,89027048,89166104,88796560,89098508,89027008,89121068
1575142977000000000,89131016,89139544,89150432,89123272,89121072,89123772,88759136,88993444,89095408,89190388,89027048,89166104,88796684,89098508,89027008,89121200
1575142978000000000,89131016,89139544,89150432,89123272,89121068,89123772,88759136,88993444,89095508,89190388,89027048,89166104,88796684,89098508,89027156,89121200
1575142979000000000,89131016,89139544,89150432,89123272,89121068,89123772,88759136,88993444,89095624,89190388,89027048,89166656,88796856,89098508,89027156,89121280
1575142980000000000,89131016,89139544,89150556,89123272,89121068,89123772,88759304,88993568,89095624,89190388,89030020,89166656,88796856,89098508,89027160,89121376
1575142981000000000,89131016,89139544,89150556,89123272,89121068,89123772,88759304,88993568,89095592,89190388,89030144,89166656,88796856,89098508,89027160,89121504
1575142982000000000,89131016,89139544,89150556,89123320,89121068,89123772,88759304,88993692,89095592,89190388,89030392,89166656,88796856,89098508,89027232,89121504
1575142983000000000,89131016,89139544,89150556,89123444,89121068,89123772,88759304,88993692,89095592,89190388,89030400,89166656,88796856,89098508,89027348,89121512
1575142984000000000,89131016,89139544,89150556,89123444,89121132,89123740,88759296,88993692,89095592,89190388,89030400,89166704,88796856,89098508,89027268,89121540
1575142985000000000,89131520,89139544,89150556,89123444,89121132,89123740,88759296,88993692,89095592,89190388,89030592,89166704,88796856,89098508,89027268,89121540
1575142986000000000,89131644,89139544,89150556,89123580,89121256,89123740,88759328,88993692,89095592,89190388,89030592,89166704,88796856,89098508,89027300,89121540
1575142987000000000,89132056,89139544,89150556,89123588,89121256,89123740,88759328,88993692,89095592,89190388,89030592,89167036,88797104,89098508,89027476,89121576
1575142988000000000,89132024,89139544,89150556,89123588,89121256,89123740,88759328,88993692,89095592,89190388,89030592,89167036,88797104,89098508,89027476,89121576
1575142989000000000,89132068,89139544,89149936,89123588,89121256,89123740,88759328,88993692,89095592,89190388,89030056,89167004,88797104,89098508,89027476,89121608
1575142990000000000,89132068,89139544,89145776,89123588,89121256,89123740,88759328,88993692,89095592,89190388,89027488,89167004,88797104,89098508,89027476,89121640
1575142991000000000,89132192,89139544,89145880,89123588,89121256,89123740,88759328,88993692,89095592,89190388,89027644,89167176,88797612,89098508,89027828,89121640
1575142992000000000,89132316,89139544,89146616,89123588,89121256,89123740,88759328,88993692,89095592,89190388,89027644,89167340,88797612,89098552,89027828,89121640
1575142993000000000,89132316,89139544,89146728,89123588,89121256,89123740,88759328,88993692,89095592,89190388,89027784,89167340,88797612,89098552,89027836,89121712
1575142994000000000,89132316,89139728,89146744,89123712,89121496,89123740,88759452,88993692,89095880,89190388,89027784,89167340,88797612,89098552,89027788,89121712
1575142995000000000,89132316,89139992,89146744,89123728,89121496,89123740,88759452,88993692,89095880,89190388,89027784,89167340,88797612,89098552,89027776,89121784
1575142996000000000,89132284,89140736,89146744,89123728,89121480,89123740,88759472,88993816,89095848,89190388,89027784,89167632,88797636,89098552,89027776,89121768
1575142997000000000,89132580,89140736,89146744,89120664,89121480,89123740,88759456,88993816,89095960,89190388,89027784,89167632,88797636,89098552,89027896,89121768
1575142998000000000,89132580,89140736,89146744,89122240,89121480,89123740,88759456,88993816,89095960,89190388,89027784,89167632,88797636,89098552,89027896,89121736
1575142999000000000,89132672,89140736,89146744,89122240,89121632,89123740,88759456,88993816,89095960,89190388,89027784,89167632,88797636,89098536,89027896,89121768
1575143000000000000,89132712,89140860,89146744,89122248,89121664,89123740,88759456,88993816,89095960,89190388,89027784,89167632,88797636,89098536,89027952,89121768
1575143001000000000,89132712,89140860,89146744,89122256,89121788,89123740,88759536,88993816,89095960,89190388,89027784,89167632,88797636,89098536,89027984,89121736
1575143002000000000,89132712,89140860,89146744,89122256,89121788,89123740,88759504,88993752,89095960,89190388,89027784,89167632,88797636,89098536,89027984,89121704
1575143003000000000,89132836,89140860,89146744,89122264,89121788,89124116,88759504,88993752,89095960,89190388,89027784,89167760,88797636,89098536,89028172,89121736
1575143004000000000,89132836,89140868,89146744,89122460,89121788,89124184,88759624,88993752,89095960,89190388,89027784,89167760,88797636,89098536,89028124,89121736
1575143005000000000,89132836,89140992,89146744,89122508,89121788,89124184,88759592,88993752,89095960,89190388,89027784,89167980,88797636,89098536,89028016,89121736
1575143006000000000,89132836,89140992,89146744,89122700,89122220,89124184,88759592,88993752,89095960,89190388,89027784,89167980,88797636,89098536,89028016,89121736
1575143007000000000,89132836,89140992,89146744,89122584,89122220,89124184,88759640,88993752,89095960,89191728,89027784,89167980,88797636,89098536,89028000,89121848
1575143008000000000,89132836,89140992,89146744,89122568,89122224,89124184,88759640,88993752,89095960,89191728,89027784,89167984,88797636,89098536,89028000,89121848
1575143009000000000,89132836,89140992,89146744,89122568,89122224,89124184,88759640,88993752,89095960,89191728,89027784,89168016,88797636,89098536,89028000,89121848
1575143010000000000,89132836,89140992,89146744,89122568,89122224,89124184,88759640,88993752,89095960,89191728,89027784,89168156,88797636,89098536,89028056,89121972
1575143011000000000,89132836,89140992,89146744,89122568,89122224,89124184,88759640,88993752,89095960,89191728,89027784,89168156,88797636,89098536,89028108,89121972
1575143012000000000,89132836,89140992,89146744,89122552,89122224,89124184,88759716,88993752,89095960,89191808,89027784,89168156,88797636,89098536,89028108,89121972
1575143013000000000,89132836,89140992,89146744,89122544,89122224,89124184,88759716,88993752,89095960,89191808,89027784,89168728,88797636,89095288,89028108,89121972
1575143014000000000,89132836,89140992,89146940,89122544,89122224,89124184,88759772,88993752,89095960,89191808,89027932,89168728,88797636,89095288,89028028,89121972
1575143015000000000,89132836,89141072,89146940,89122544,89122224,89120920,88759780,88993752,89095960,89191808,89027932,89168728,88797636,89095288,89028028,89121988
1575143016000000000,89129664,89137076,89146940,89122544,89122224,89120920,88759780,88993752,89095960,89191808,89027932,89168768,88797636,89095288,89028192,89121988
1575143017000000000,89129664,89137076,89147004,89122544,89122224,89120920,88759780,88993752,89095960,89191808,89027932,89168768,88797636,89095288,89028192,89121988
1575143018000000000,89129728,89137076,89147004,89122544,89122224,89120920,88755016,88994736,89095960,89191808,89027932,89168736,88797636,89095288,89028192,89121988
1575143019000000000,89129728,89137076,89147004,89122552,89122224,89120920,88757636,88994736,89095960,89191808,89027932,89168736,88797636,89095288,89028192,89122120
1575143020000000000,89129612,89137076,89149164,89122552,89122496,89120920,88757792,88994736,89095960,89191808,89027932,89168736,88797636,89095288,89028332,89122120
1575143021000000000,89129716,89137076,89149172,89122552,89122496,89120920,88757792,88994736,89095960,89191808,89027932,89168704,88797636,89095288,89028332,89122120
1575143022000000000,89129852,89137076,89149296,89122552,89122496,89122548,88757792,88994736,89095960,89191808,89027932,89168928,88798504,89095288,89028332,89122120
1575143023000000000,89129632,89137076,89149296,89122552,89122496,89122548,88757956,88994736,89095960,89191808,89027932,89168928,88798552,89095288,89028332,89122192
1575143024000000000,89129796,89137092,89149312,89122552,89122496,89122564,88757956,88994736,89096540,89191808,89027932,89168928,88798884,89095288,89028440,89122192
1575143025000000000,89129796,89137092,89149312,89122608,89122496,89122564,88757956,88994704,89096616,89191808,89027932,89168912,88798884,89095288,89028440,89122192
