Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575137932000000000,90460648,90467444,90491220,90451228,90459176,90459444,90077360,90326104,90438728,90541736,90352304,90507672,90119084,90432400,90377720,90461624
1575137933000000000,90457872,90460300,90487480,90444732,90454372,90448984,90072900,90322144,90426212,90531812,90346940,90500460,90112552,90424616,90368880,90457512
1575137934000000000,90220444,90156848,90203668,90205288,90218604,90211656,89832640,90061772,90181140,90289768,90024592,90260728,89871392,90119216,90131312,90213096
1575137935000000000,89982188,89985484,90012944,89970036,89979760,89974572,89597968,89848216,89952184,90057588,89872156,90025544,89636296,89949528,89894680,89982660
1575137936000000000,89981960,89985484,90012944,89970504,89979520,89974572,89597972,89847452,89952184,90057588,89872124,90025544,89636336,89949528,89894820,89982676
1575137937000000000,89981972,89985484,90012944,89970504,89979644,89974572,89597972,89847156,89952248,90057588,89872124,90025544,89636336,89949640,89894852,89982676
1575137938000000000,89981972,89985484,90012944,89970532,89979644,89974572,89598008,89847164,89952480,90057588,89872124,90025504,89636460,89949640,89894984,89982696
1575137939000000000,89982220,89985484,90012944,89970572,89979644,89974572,89598008,89847164,89952024,90057588,89872124,90025528,89636460,89949640,89894952,89982908
1575137940000000000,89982228,89985484,90012944,89970780,89979644,89974572,89598284,89847164,89952432,90057540,89872256,90025528,89636460,89949640,89895032,89982908
1575137941000000000,89982428,89985484,90012944,89970788,89979644,89974068,89598284,89847284,89952556,90057540,89872256,90025624,89636460,89949640,89895032,89983032
1575137942000000000,89982428,89985484,90012944,89970788,89979644,89974068,89598408,89847284,89952556,90057540,89872256,90025624,89636460,89949640,89895032,89983104
1575137943000000000,89982428,89985484,90012944,89970788,89979644,89974068,89598408,89847408,89952556,90057540,89872380,90025624,89636460,89949640,89895064,89983256
1575137944000000000,89982428,89985484,90012944,89970788,89979644,89974068,89598584,89847408,89952556,90058052,89872380,90025624,89636460,89949640,89895080,89983216
1575137945000000000,89982428,89985484,90012944,89970960,89979644,89974264,89598600,89847408,89952556,90058220,89872504,90023680,89636460,89949640,89895088,89983216
1575137946000000000,89982428,89985484,90012944,89970960,89979644,89974560,89598600,89847408,89953192,90058220,89872504,90023680,89636460,89949640,89895088,89983216
