Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575114001000000000,90022092,90039528,90033860,90010444,90028540,90002596,89649164,89886336,89999804,90076328,89913864,90079064,89688036,89989288,89934316,90025400
1575114002000000000,90020920,90038216,90032108,90008820,90027500,90001524,89551116,89885512,89992140,90075396,89912952,90077596,89662428,89988620,89933228,90024668
1575114003000000000,88310696,88324128,88349604,88315624,88347032,88322220,87942440,88174784,88273036,88384992,88213428,88374220,87958556,88302996,88244804,88319368
1575114004000000000,85735372,85701644,85784644,85704588,85759420,85733364,85321640,85554288,85642380,85803648,85603176,85764416,85325856,85686920,85671840,85711604
1575114005000000000,83133432,83074720,83217512,83139628,83192412,83123224,82750296,82934032,83053052,83220860,82994748,83156184,82721860,83074448,83084212,83109656
1575114006000000000,80492572,80450120,80648456,80578764,80629376,80552120,80177176,80317624,80436840,80610656,80423280,80548248,80136420,80456124,80513144,80520104
1575114007000000000,77924200,77827708,78081604,77993384,78062368,77939948,77606080,77742424,77853112,77988104,77831532,77938108,77552904,77839964,77939868,77932484
1575114008000000000,75346828,75207204,75514472,75434420,75444100,75356308,75032804,75136380,75263988,75407156,75239976,75327976,74946860,75225604,75368708,75336704
1575114009000000000,72780012,72588996,72949512,72865316,72881188,72740148,72461544,72559008,72674328,72827860,72627788,72715748,72324432,72605224,72762664,72751340
1575114010000000000,70619380,70635672,70630988,70606228,70626564,70602180,70243864,70482172,70586228,70671888,70511104,70674328,70284384,70585448,70530712,70623584
1575114011000000000,70619460,70635680,70631608,70606044,70626156,70602092,70243864,70482668,70586352,70672276,70511512,70673976,70284940,70585472,70530712,70623272
1575114012000000000,70620616,70635952,70632008,70607000,70626156,70602464,70243644,70482772,70586264,70673364,70512072,70674812,70285880,70585904,70531928,70624340
1575114013000000000,70620616,70637576,70633176,70608132,70626156,70604008,70245156,70483820,70587840,70674392,70512104,70675112,70287060,70586108,70532424,70624764
1575114014000000000,70621624,70637576,70633308,70609372,70627668,70604008,70246816,70483844,70587840,70675028,70513680,70675112,70287080,70585980,70533808,70624772
1575114015000000000,70622036,70638512,70634428,70609252,70626916,70603848,70245468,70483964,70587580,70675716,70514084,70675732,70287932,70588600,70532848,70626376
1575114016000000000,70621424,70637984,70633956,70607764,70627288,70604788,70245476,70484268,70588868,70632032,70465160,70675468,70288276,70536752,70532724,70580444
