Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575142379000000000,90457464,90465468,90477324,90441060,90444356,90449308,90083712,90321616,90425208,90529276,90352892,90489236,90124892,90426316,90355924,90449408
1575142380000000000,90457180,90463176,90471936,90438160,90444080,90442588,90080932,90316640,90418044,90523568,90350504,90487032,90123424,90422940,90354928,90446896
1575142381000000000,88559404,88587532,88579764,88545392,88582464,88577972,88203564,88442640,88536204,88645068,88455212,88621516,88212732,88520576,88450888,88572752
1575142382000000000,85939352,86012332,85963332,85912600,86021624,85982168,85627972,85865392,85905172,86063016,85888788,86056284,85581912,85906340,85834348,85993456
1575142383000000000,83325240,83433060,83357272,83278952,83458828,83378172,83060964,83269464,83278648,83485692,83320332,83493372,82940804,83294180,83261268,83418296
1575142384000000000,80750048,80859784,80790264,80679176,80897752,80768132,80485640,80698360,80645980,80902376,80753324,80926736,80355364,80679820,80692040,80835028
1575142385000000000,78180984,78280488,78219160,78116140,78330620,78157868,77916584,78125208,78058252,78326936,78184392,78333360,77767752,78065584,78106740,78227156
1575142386000000000,75607964,75662156,75649856,75555276,75770228,75592908,75341412,75550024,75469224,75704632,75619308,75719188,75180264,75449300,75531504,75604852
1575142387000000000,73030156,73039604,73083068,72990316,73209380,72986864,72731272,72978672,72865236,73090520,73033868,73158200,72567984,72839160,72962448,72964184
1575142388000000000,71060492,71065084,71074800,71041712,71046768,71045936,70681252,70920128,71015148,71124392,70953692,71090176,70724496,71023200,70955876,71048272
1575142389000000000,71060524,71065224,71074612,71041128,71047072,71046336,70681404,70920812,71015840,71124964,70952816,71090300,70724620,71023356,70955892,71047912
1575142390000000000,71060540,71065980,71071012,71041120,71047440,71047900,70681420,70921744,71016388,71125312,70950932,71091584,70725824,71024560,70956824,71050156
1575142391000000000,71062208,71066032,71072192,71041104,71049688,71048080,70681420,70777972,71017708,71125312,70952032,70947512,70583992,71024708,70958412,71050280
1575142392000000000,71062208,71067212,71072224,71044412,71050276,71049844,70683456,70923416,71018236,71126872,70952032,71092408,70728460,71026068,70958656,71051932
1575142393000000000,71063860,71067984,71074140,71044868,71049420,71049212,70682880,70923692,71018676,71127352,70954760,71093416,70728460,71027004,70957432,71051880
1575142394000000000,71063684,71067240,71074252,71044064,71050728,71049796,70683916,70923568,71019888,71127616,70955220,71093452,70728604,71026200,70957400,71051200
1575142395000000000,71064576,71068144,71075304,71044196,70908572,70906724,70541528,70923696,71019680,71128356,70956128,71093700,70729300,71026984,70814812,71051828
1575142396000000000,71064584,71068480,71075088,71043716,71051436,71050708,70683872,70924068,71020052,71128732,70956392,71093716,70729560,71027188,70958196,71052104
1575142397000000000,71065388,71069076,71075196,71044296,71051544,71050840,70683872,70923728,71020004,71128548,70956920,71093972,70728860,71027084,70958180,71052232
1575142398000000000,71065140,71068712,71074808,71044376,71051512,71050840,70684188,70924084,71021088,71129448,70957040,71094480,70729356,71027084,70957744,71052324
1575142399000000000,71065688,71069224,71075772,71044748,71052204,71051324,70684732,70924600,71021196,71129076,70956796,71094604,70729504,71027456,70958440,71052744
1575142400000000000,71065688,71069832,71075828,71044748,71051664,71051940,70684856,70925216,71020708,71129744,70957680,71094604,70730036,71027712,70959220,71052992
1575142401000000000,71065952,71069956,71076108,71045820,71052276,71052336,70685104,70925216,71021280,71129692,70957344,71095232,70730036,71027368,70959220,71053228
1575142402000000000,71065952,71069956,71076620,71040056,71009828,70998220,70638444,70925108,71021544,71130056,70957732,71096536,70730620,71027856,70911372,71053460
1575142403000000000,71066528,71070352,71076704,71040520,71053056,71052336,70685668,70925280,71021544,71130056,70958104,71096636,70730752,71028012,70959020,71053460
1575142404000000000,71066652,71070864,71077076,71040528,71053180,71052376,70685760,70925220,71021428,71130056,70958620,71096636,70730884,71027920,70958988,71053460
1575142405000000000,71066536,71070616,71076960,71040156,71053104,71052464,70685676,70925344,71021668,71130064,70958860,71096924,70731008,71028044,70959440,71053708
1575142406000000000,71066776,71070864,71077588,71040468,71053468,71052464,70685676,70828560,70948500,71129980,70958684,71031136,70646848,71027928,70959440,71054016
